"","path","Parameter","EstimateNotStd","EstimateStd","jack_001_Anoplogaster_EstimateNotStd","jack_001_Anoplogaster_EstimateStd","jack_002_Arnoglossus_EstimateNotStd","jack_002_Arnoglossus_EstimateStd","jack_003_Brevoortia_EstimateNotStd","jack_003_Brevoortia_EstimateStd","jack_004_Buglossidium_EstimateNotStd","jack_004_Buglossidium_EstimateStd","jack_005_Callionymus_EstimateNotStd","jack_005_Callionymus_EstimateStd","jack_006_Carcharhinus_EstimateNotStd","jack_006_Carcharhinus_EstimateStd","jack_007_Chaenocephalus_EstimateNotStd","jack_007_Chaenocephalus_EstimateStd","jack_008_Channa_EstimateNotStd","jack_008_Channa_EstimateStd","jack_009_Chelon_EstimateNotStd","jack_009_Chelon_EstimateStd","jack_010_Chiloscyllium_EstimateNotStd","jack_010_Chiloscyllium_EstimateStd","jack_011_Chromis_EstimateNotStd","jack_011_Chromis_EstimateStd","jack_012_Engraulis_EstimateNotStd","jack_012_Engraulis_EstimateStd","jack_013_Gadus_EstimateNotStd","jack_013_Gadus_EstimateStd","jack_014_Gasterosteus_EstimateNotStd","jack_014_Gasterosteus_EstimateStd","jack_015_Gillichthys_EstimateNotStd","jack_015_Gillichthys_EstimateStd","jack_016_Glossogobius_EstimateNotStd","jack_016_Glossogobius_EstimateStd","jack_017_Hippocampus_EstimateNotStd","jack_017_Hippocampus_EstimateStd","jack_018_Hippoglossoides_EstimateNotStd","jack_018_Hippoglossoides_EstimateStd","jack_019_Limanda_EstimateNotStd","jack_019_Limanda_EstimateStd","jack_020_Lipophrys_EstimateNotStd","jack_020_Lipophrys_EstimateStd","jack_021_Lutjanus_EstimateNotStd","jack_021_Lutjanus_EstimateStd","jack_022_Mugil_EstimateNotStd","jack_022_Mugil_EstimateStd","jack_023_Notothenia_EstimateNotStd","jack_023_Notothenia_EstimateStd","jack_024_Ophiodon_EstimateNotStd","jack_024_Ophiodon_EstimateStd","jack_025_Pleuronectes_EstimateNotStd","jack_025_Pleuronectes_EstimateStd","jack_026_Pomadasys_EstimateNotStd","jack_026_Pomadasys_EstimateStd","jack_027_Pseudopleuronectes_EstimateNotStd","jack_027_Pseudopleuronectes_EstimateStd","jack_028_Scomber_EstimateNotStd","jack_028_Scomber_EstimateStd","jack_029_Scophthalmus_EstimateNotStd","jack_029_Scophthalmus_EstimateStd","jack_030_Scyliorhinus_EstimateNotStd","jack_030_Scyliorhinus_EstimateStd","jack_031_Sebastolobus_EstimateNotStd","jack_031_Sebastolobus_EstimateStd","jack_032_Solea_EstimateNotStd","jack_032_Solea_EstimateStd","jack_033_Squalus_EstimateNotStd","jack_033_Squalus_EstimateStd","jack_034_Thunnus_EstimateNotStd","jack_034_Thunnus_EstimateStd","jack_035_Torpedo_EstimateNotStd","jack_035_Torpedo_EstimateStd","jack_036_Trematomus_EstimateNotStd","jack_036_Trematomus_EstimateStd","jack_037_Zoarces_EstimateNotStd","jack_037_Zoarces_EstimateStd","jack_038_Chanos_EstimateNotStd","jack_038_Chanos_EstimateStd","jack_039_Dorosoma_EstimateNotStd","jack_039_Dorosoma_EstimateStd","jack_040_Eleginus_EstimateNotStd","jack_040_Eleginus_EstimateStd","jack_041_Gilchristella_EstimateNotStd","jack_041_Gilchristella_EstimateStd","jack_042_Oncorhynchus_EstimateNotStd","jack_042_Oncorhynchus_EstimateStd","jack_043_Salmo_EstimateNotStd","jack_043_Salmo_EstimateStd"
"1","habitatbenthopelagic->c_m","p0",-0.0686244448397282,-0.0511213567508535,-0.0671942762634586,-0.0500889587576638,-0.0886035417787267,-0.0646565040032048,-0.0783151026304441,-0.0589158164872842,-0.0687623504771484,-0.051229435765873,-0.0483346513525243,-0.0321763933376711,-0.0800866543260833,-0.0585781057015257,-0.0732511797699352,-0.0550709181393843,-0.0525921194977706,-0.0401219028993227,-0.0727014737657252,-0.0541299796396009,-0.0682357698768241,-0.0506295110064736,-0.0414750228559664,-0.0283140830835901,-0.0211047924882246,-0.0168187620033617,-0.04711008017739,-0.0350236361888763,-0.0898260842962559,-0.0670229866679943,-0.059693321634825,-0.051812534498257,-0.0450584946637711,-0.0373593636745046,-0.0631416157009919,-0.0462348068646356,-0.0727957862281144,-0.0545141152900922,-0.0679188572105515,-0.0504581676580146,-0.0691189990054848,-0.0516061242758627,-0.0352099724875595,-0.0240393710931029,-0.0637414733704959,-0.0477120075034327,-0.0584672627861746,-0.0433648165134809,-0.0714564181338911,-0.0530948115571763,-0.0720785743073847,-0.0539243406557635,-0.0809286941161159,-0.060261875816333,-0.0569225579738477,-0.0457608866859427,-0.0610545913313055,-0.0453229940745934,-0.0675327653468594,-0.0501727570479053,-0.0992087403619822,-0.0748340883826682,-0.0509111301077414,-0.0377581401627423,-0.0666737740454264,-0.0492579274147088,-0.0655432573821612,-0.0484387705024221,-0.0694385930610656,-0.0512586966940833,-0.0662043026238855,-0.0487459786844259,-0.0826017754533707,-0.0614863576512424,-0.0526388291062932,-0.039501393921267,-0.0756469455349492,-0.0565554893199375,-0.0709273952988585,-0.0526920022867621,-0.065868709309635,-0.0489565239196345,-0.0730844253187294,-0.0545835244858574,-0.0683021696882954,-0.0503853480594776,-0.0699744348354255,-0.0500906415833971
"2","habitatdemersal->c_m","p1",-0.14992820982747,-0.11836469098594,-0.144209213842819,-0.113913616847273,-0.143698134503378,-0.111193278614405,-0.165548838679343,-0.13202255455441,-0.149165990417731,-0.117773100482023,-0.223983586323539,-0.158097963734788,-0.154589144848095,-0.119880493564288,-0.138567987955424,-0.110406918373999,-0.152485603244273,-0.123279263318283,-0.146048794033024,-0.115231530271676,-0.151035333345547,-0.1187650182944,-0.212901701357535,-0.154090673643089,-0.0876154010575934,-0.0739783971119234,-0.165586396183085,-0.130477404855141,-0.135701071837786,-0.107321361301854,-0.169303190026388,-0.15589510279193,-0.145960832751731,-0.128344505809668,-0.148324394432062,-0.115069924817905,-0.139684882827359,-0.11086123306261,-0.152175201559277,-0.119812162322589,-0.159423158812376,-0.126175520956356,-0.21383119228102,-0.154792141514674,-0.153215582613525,-0.121571327089349,-0.157919595415362,-0.124129164332152,-0.147059165091489,-0.115806150782854,-0.143334762118066,-0.113642742194804,-0.166033007232428,-0.13103175056487,-0.142122932190135,-0.121023190753564,-0.14541194993966,-0.1144071754842,-0.153693759562154,-0.121007965495809,-0.132843783296319,-0.10626713347236,-0.174747224228618,-0.137372004111622,-0.156759963472886,-0.122742289670623,-0.153423772112896,-0.120168719389599,-0.159994156835339,-0.125179406413549,-0.155346049385286,-0.121225414560803,-0.147637767586317,-0.116479659561188,-0.166886692091754,-0.13268210922004,-0.144783793117194,-0.114701669955006,-0.160069140938778,-0.126032210413439,-0.153405984776275,-0.120840247217637,-0.152455435095454,-0.120669951506567,-0.154822470592387,-0.121044519384543,-0.168567673178845,-0.127917828176487
"3","habitatpelagic->c_m","p2",0.134850964896771,0.141462745660544,0.125206806857543,0.131438659721499,0.13015026350165,0.13388029386406,0.154211296138018,0.163317997751664,0.134624867777564,0.14124262288745,0.16556043487194,0.155162139473932,0.135919909191914,0.140020998132212,0.120725876581426,0.127826602905597,0.128821098623418,0.138279807420841,0.137516195292974,0.14416576612798,0.135496136088199,0.141574757741871,0.145789874104338,0.14020962324938,0.0970640087446037,0.109034985251443,0.134601891121497,0.140873187838899,0.139736396819411,0.146826582419253,0.108435078437913,0.1325334741017,0.0810392714502477,0.0947041173752238,0.141142248024229,0.14557391477107,0.129176888230333,0.136230848478483,0.136101060343004,0.142387054639773,0.141291131063584,0.148538314270484,0.133569591228093,0.128457723859601,0.138518955796029,0.145994012017828,0.136111850457804,0.142137130602749,0.132113742762815,0.138240039047558,0.132008370716352,0.13907278217615,0.131439372984814,0.137802488651448,0.130603674896598,0.147798391940617,0.126487405079311,0.132248880064149,0.1375799467647,0.143939885929355,0.142388535596257,0.151347303021557,0.141259635463709,0.147492423404346,0.137791055251743,0.143349679357617,0.127280503712315,0.132499992836823,0.139829377363019,0.14534218420238,0.137268483444784,0.142331139400287,0.148534539160238,0.155679843593598,0.137071821723254,0.144834280214647,0.136205687870861,0.143431398284929,0.140890986561249,0.147371172186563,0.134275148389945,0.140543978769404,0.140196077088536,0.147441361625624,0.137892099283569,0.143256902857463,0.144020064022314,0.1452221819383
"4","Temperature->K","p3",0.0279073812619317,0.281229806523648,0.0278493783592676,0.2803260182178,0.0280556611952851,0.283158629312795,0.0279559137951365,0.28263199185116,0.0279089588665856,0.281126980145952,0.0283557285675072,0.2914994782287,0.0281691122041549,0.28552126095921,0.0280337832020143,0.282511041083568,0.0277771115658266,0.279141254069701,0.0279342248589776,0.281454717507203,0.0279199850190482,0.281452278256415,0.0281135046276849,0.288929068016081,0.027564738313579,0.280889970344036,0.0280307708625794,0.284389601567346,0.0279522532064557,0.281064001783189,0.0275139962008096,0.274192756167265,0.0273288744555172,0.272926749102366,0.0281168319301461,0.283549068743841,0.0280502768359591,0.282451121879444,0.0279057448148396,0.281296847933189,0.0279398011647295,0.282039891740293,0.0280204545396902,0.289456113671529,0.0278774019187504,0.281259624048859,0.0279150436984331,0.2821399547202,0.0279506678098352,0.282014061993328,0.0278898164628707,0.280617037352356,0.0281861396394336,0.285035001836324,0.0281125088633088,0.282330517271326,0.0279179783871597,0.282420612813708,0.0279113159962209,0.281304110740431,0.0282972755455661,0.28639459807674,0.0280467028112184,0.285344935679701,0.0279844541995315,0.28240149728236,0.0278975230842982,0.28205841751613,0.0279560526930651,0.282402929286276,0.0279529563969838,0.282151795445528,0.0280479347049233,0.282756150464654,0.0277176415180218,0.280368292017146,0.0279520610669988,0.281122971994408,0.027889144922951,0.281369988010215,0.0278888507183826,0.281236604061028,0.0279312493950797,0.281245095351671,0.027965387263083,0.282498410689147,0.0280972118961075,0.285322819234861
"5","Temperature->M","p4",0.0299488252986775,0.289520964165586,0.0298664915843651,0.288370070125062,0.0301052980248252,0.291678543129749,0.0299941969446481,0.291086337045253,0.0299515959766742,0.289356612714074,0.0303290208204673,0.298626881160929,0.030260987687652,0.293801245771683,0.0301559977438363,0.291607346764708,0.0297938050947152,0.287103790620194,0.0299753261669225,0.289814261251573,0.0299613534878762,0.28974601002387,0.0299940593137449,0.294508012992284,0.0294134743041917,0.287709909323322,0.0301017452414384,0.293355753028549,0.0300608612353865,0.290471108184406,0.029545849116175,0.281925492855274,0.0292162754078733,0.279927411025942,0.0301394965098981,0.291333897361548,0.0302045193666242,0.292240992651814,0.0299483935809701,0.289618217744856,0.0299482113122591,0.289764852147827,0.0300115964981378,0.30019017450841,0.0299150763231302,0.289365940758526,0.029951443049526,0.290440450691436,0.0300014411154289,0.290491718055135,0.0299228727116546,0.288575498610236,0.0302846759452836,0.293316353241996,0.0301061533260141,0.289851682680308,0.0299313040105035,0.290586892625091,0.0299784832262469,0.289916240957892,0.030508006001963,0.296640710482009,0.0300887261907651,0.293241969877499,0.0300443536688436,0.290865192028009,0.0299036927662991,0.290207725316534,0.029991913595661,0.290728480144282,0.0299895277166375,0.290369483105919,0.0301399661549976,0.291243670093272,0.0296684857800011,0.287596504901607,0.0299948760827398,0.289578009591586,0.0298902168068782,0.289283956218296,0.0299125538446696,0.289379853648342,0.0299838865983821,0.289622287404907,0.0299877347733354,0.290504566756072,0.0300964316875486,0.293363517623354
"6","Temperature->Loo","p5",-0.0173911363072487,-0.176948110172836,-0.0173974188353519,-0.177018406862858,-0.0173914536998989,-0.176979765807082,-0.0173758820104202,-0.176789011572652,-0.0173921347508465,-0.176953100601869,-0.0173663693717145,-0.176830920054141,-0.0173791722723256,-0.176838273273715,-0.017384349246594,-0.17690904617767,-0.0173909695896666,-0.176931489266476,-0.0173931006092795,-0.176972602799606,-0.0173905729925083,-0.176946267342165,-0.017365171050811,-0.176776575237255,-0.0173895366971951,-0.176944923802165,-0.0173729308484143,-0.176808346368919,-0.0173950651153582,-0.177004448034725,-0.0173876567052181,-0.176893442719151,-0.0174172485728249,-0.177144059927914,-0.0174071790296192,-0.177149690615223,-0.0173843519195993,-0.176907857957315,-0.0173903254757893,-0.176942236832323,-0.0173856071607632,-0.176907949675841,-0.0173664011005816,-0.176788021494801,-0.0173905042886918,-0.176946472241223,-0.0173845956369316,-0.176895451473213,-0.0173896108640287,-0.176953068842507,-0.0173942578546606,-0.176980934871722,-0.0173829132922555,-0.176904968220215,-0.0173894477376365,-0.176975785447155,-0.0173914330097122,-0.176938051158106,-0.0173920442128688,-0.176958545696318,-0.017385672274846,-0.176918239365064,-0.0173718112053341,-0.176818098866354,-0.0173866159921706,-0.176907352382375,-0.0173894575371268,-0.176938377067109,-0.0173935935420334,-0.176969618216608,-0.0173884100870034,-0.176934763529664,-0.0173904451998951,-0.176932121005274,-0.0173871441150104,-0.176863905535893,-0.0173921275539093,-0.176952781112157,-0.0173920811089155,-0.176962315697576,-0.0173898954537492,-0.17693812383743,-0.0173910832614797,-0.176953630893209,-0.0173887377001809,-0.17693598146461,-0.0173884866128157,-0.176990826896396
"7","Loo->K","p6",-0.790563285424531,-0.782998507372953,-0.790824186743969,-0.782337661219157,-0.790051916351589,-0.783568904170433,-0.790507060753133,-0.785497796662524,-0.79039063713161,-0.782519905179997,-0.790101833038087,-0.797683976086902,-0.788722312301373,-0.785673748961874,-0.791846852136097,-0.784157511628787,-0.790897181764807,-0.781224100639537,-0.790566476400356,-0.782854897453772,-0.79055971501995,-0.783243417017968,-0.788858911683995,-0.796397584938966,-0.790419009813872,-0.791570568604169,-0.79119401226479,-0.78873659638591,-0.79175191505854,-0.782382999245824,-0.793484342401745,-0.777266568230701,-0.791676870288193,-0.777365512509133,-0.789947232340487,-0.782794778337912,-0.791054347069831,-0.782751403104205,-0.790584234204031,-0.783241325630732,-0.79098260083308,-0.78468738681103,-0.789210741994748,-0.80086171091647,-0.790380482473927,-0.783721155217135,-0.790670669884013,-0.785361914392536,-0.790885181819109,-0.784194475893026,-0.790796021349537,-0.78200994031719,-0.790918483226303,-0.785917308722321,-0.791067588498626,-0.780627327689802,-0.790790185385958,-0.786299181582002,-0.790406244565024,-0.782934116686682,-0.788881883775904,-0.784604981624093,-0.789762495608249,-0.789411132318548,-0.790261835939972,-0.783773079412566,-0.790302150551388,-0.785290923865025,-0.790666547055862,-0.785013841357555,-0.790548177124803,-0.784205920520606,-0.789793537517193,-0.782580036564788,-0.789392483699844,-0.784972879214593,-0.79069721462834,-0.78160625653064,-0.790398279220387,-0.783717092129459,-0.790614733007258,-0.783577007132127,-0.790462081198407,-0.782244993722531,-0.790515762628289,-0.784797484085685,-0.790443073797013,-0.788596608939883
"8","Loo->M","p7",-0.7088654666406,-0.673513141223054,-0.709320611242758,-0.673092799778329,-0.707704345141105,-0.673791739263116,-0.708795120049931,-0.676078137615703,-0.708597177340705,-0.672833452246393,-0.70823155528736,-0.684851812606184,-0.706237680017144,-0.673867081486598,-0.710638145181797,-0.675276555700793,-0.709552906015356,-0.672072924942977,-0.708924135065943,-0.673637984748777,-0.708848886233217,-0.673724255098844,-0.707055600719463,-0.681977090994426,-0.708907012299191,-0.681471455686861,-0.710046510024289,-0.679923512041634,-0.710732000867671,-0.674915296963505,-0.713780763010558,-0.669471409332349,-0.710585340778562,-0.669406272672531,-0.706819140465229,-0.671353604619907,-0.709215519342033,-0.674308783027111,-0.708882822460182,-0.673756541126257,-0.709524113962556,-0.674659266229902,-0.706084736707258,-0.693779063815211,-0.708414502380106,-0.673464964373734,-0.709235634510185,-0.6758928093221,-0.709457192222858,-0.675071229203916,-0.709368342528778,-0.672368550622352,-0.709458018841736,-0.67518468334782,-0.709122298404721,-0.67083179755491,-0.709071015757452,-0.676634667026879,-0.708482992890538,-0.67339735936234,-0.70581008757799,-0.6744094864889,-0.707791119604291,-0.677713004833756,-0.708506007999875,-0.674126815953998,-0.708562084102757,-0.675812236666342,-0.709088828584732,-0.67557667726697,-0.708755933268564,-0.674411173009305,-0.707548647621892,-0.672007401707469,-0.707421430552915,-0.674148352517278,-0.709078845841225,-0.672834659288745,-0.70847558519441,-0.67389297791005,-0.708957179794303,-0.6740783170926,-0.708652827569722,-0.67273609955146,-0.708943782916063,-0.67495217032428,-0.708543903184054,-0.678529742822652
"9","Loo->Max_body_width","p8",-0.00500845013479283,-0.0224889095694366,-0.00497107615659001,-0.0223207961879358,-0.00493707771759185,-0.0221671759641372,-0.00513744984615798,-0.0230678939677458,-0.00501181289504885,-0.0225047047902407,-0.00501034739735504,-0.0224823757835282,-0.00496459429761155,-0.0222911730982362,-0.0049257498016037,-0.0221145422503207,-0.00504081867891103,-0.0226362283075419,-0.00499100206195633,-0.0224100758746833,-0.0050018891413388,-0.0224590314620454,-0.00496293662844365,-0.0222727080060914,-0.00518608518228025,-0.0232817135247424,-0.00498308211710993,-0.0223684973676578,-0.00493391227283054,-0.0221517438467425,-0.00525236459770154,-0.0235902138144742,-0.0049981411930084,-0.0224485831452042,-0.00483324133544567,-0.0217023627829417,-0.00494007808521806,-0.0221804927290381,-0.0050056698564972,-0.0224761428090654,-0.00503277024363065,-0.0225969719144262,-0.00507663077102986,-0.0227821934941119,-0.00499299923194989,-0.022418542999488,-0.00501501342493803,-0.0225155775404688,-0.00497281200971167,-0.0223263994056123,-0.00502399857637486,-0.0225589378511726,-0.00487133290609868,-0.02186945460276,-0.00481330489998365,-0.021610011276029,-0.00497005955390844,-0.0223176861205374,-0.00496738445532897,-0.0223039780187924,-0.00494631878860975,-0.022206997065998,-0.00503854893465422,-0.0226171546736127,-0.00499116056360461,-0.0224102910978397,-0.00501280418383749,-0.0225073233156781,-0.00497240512551257,-0.0223269439263917,-0.00498544798318379,-0.022383980712341,-0.0049983533440545,-0.02244478899755,-0.00518286208793982,-0.0232758814694685,-0.00498934376116639,-0.0224039520565397,-0.00503254773204183,-0.02259676597729,-0.00501854393440753,-0.0225338488657191,-0.00498112254355272,-0.0223659434210499,-0.00496398784269038,-0.0222876645314183,-0.0049138838360794,-0.0220558041876132
"10","Loo->Max_body_depth","p9",-0.0131253397271532,-0.0535543016673875,-0.0131907656780504,-0.0538268519732161,-0.0132298041573297,-0.05397512948811,-0.0129460580244309,-0.0528090340361109,-0.0131184451322696,-0.0535275109977307,-0.0131990278019307,-0.0538037043864329,-0.0129368072757227,-0.0527827475875094,-0.0132451234144442,-0.054041115360317,-0.0130704455632916,-0.0533371050520866,-0.0131614546841423,-0.0537019577573607,-0.0131341847979003,-0.0535895746698023,-0.0131768201276657,-0.0537301893361496,-0.0129084281506815,-0.0526332399877057,-0.013160459240144,-0.0536810491680187,-0.0132410874388078,-0.0540275266605172,-0.0128549730093078,-0.0524478671673234,-0.0131479495663479,-0.053684658359787,-0.0133667279666636,-0.0545539793672622,-0.013233101715887,-0.0539913541389118,-0.0131282650298759,-0.0535658862607267,-0.013099297756112,-0.0534398444465017,-0.013027616115859,-0.0531159496038359,-0.0131310879436168,-0.0535776612782913,-0.0131131862031293,-0.0534984608563432,-0.0131808015162691,-0.0537775002861922,-0.013118675885592,-0.0535247613241362,-0.0133974155842321,-0.0546650815933138,-0.0134325332125499,-0.0548108406288111,-0.0131482521206503,-0.0536475378851676,-0.0131623477193837,-0.0537098873691378,-0.0130456145424603,-0.0532235381156169,-0.0130779659347491,-0.0533419840664031,-0.0131237276436427,-0.0535464438104593,-0.0130945960404107,-0.0534244889879931,-0.0131623929494249,-0.0537046087805734,-0.013168909382888,-0.0537287972746395,-0.0131073928976916,-0.0534837547602712,-0.0128896032232114,-0.0525865772744795,-0.0131547905966674,-0.0536775174506475,-0.0131000649995857,-0.0534463025065952,-0.0131121099755255,-0.0534980812708162,-0.0131700388813295,-0.0537398049287117,-0.013211024205054,-0.0539027793710942,-0.0132480274850317,-0.0540349487391908
