"","sd_sp_Std","PC_original","relative_standard_erro"
"habitatbenthopelagic->c_m",0.0701826686678941,-0.0511213567508535,137.286396779214
"habitatdemersal->c_m",0.0930825857805728,-0.11836469098594,78.6405008159316
"habitatpelagic->c_m",0.0720827934534418,0.141462745660544,50.955319096105
"Temperature->K",0.02043568629656,0.281229806523648,7.26654352508741
"Temperature->M",0.0219773719279833,0.289520964165586,7.59094319519252
"Temperature->Loo",0.000489769660388245,-0.176948110172836,0.276787166537047
"Loo->K",0.029263751351347,-0.782998507372953,3.7373955474743
"Loo->M",0.0269120089051551,-0.673513141223054,3.9957659706958
"Loo->Max_body_width",0.00235020329456626,-0.0224889095694366,10.4504991107274
"Loo->Max_body_depth",0.00311273503327952,-0.0535543016673875,5.8122969329559
"Loo->Lower_jaw_length",0.00239207957127491,0.11562301625026,2.06886107009817
"Loo->Min_caudalpeduncle_depth",0.00156343556300094,-0.0860067082148082,1.81780653562062
"Loo->Woo",0.0455306635962882,2.75248048376531,1.6541684442392
"Max_body_depth->c_m",0.085678433422245,-0.181449788401045,47.2188114283586
"Max_body_width->c_m",0.0813882753317372,-0.0845359805937345,96.2764905074862
"Lower_jaw_length->c_m",0.0756671607893546,0.0969986373937037,78.0084780801944
"Min_caudalpeduncle_depth->c_m",0.0751751476829174,-0.0486253865421771,154.600617144115
"Max_body_depth->TLDiet",0.00120327567464139,0.0203386781823286,5.9161940803354
"Max_body_width->TLDiet",0.00139709725208847,0.0159310338389099,8.76965843030354
"Lower_jaw_length->TLDiet",0.000619499194230707,0.0680144253384078,0.910835004704326
"Min_caudalpeduncle_depth->TLDiet",0.000574553235826528,-0.00501445036366606,11.4579504064823
"c_m->K",0.15982026204926,0.231203062066988,69.1254954066975
"c_m->M",0.167223676080021,0.234909975846114,71.1862812457
"c_m->Woo",0.08741665235073,-0.133254465182699,65.6012931580771
"K->Lm",0.00500082964760032,0.396519540336535,1.26118113708999
"K->tm",0.0210572861868986,-0.503637158560702,4.18104300466556
"M->tmax",0.0588065731209225,-1.30677568387796,4.50012759239667
"M->tm",0.0425828157322246,0.92536942593151,4.60170981868773
"M->Lm",0.004295880213123,-0.251569754303923,1.70762984803535
"Woo->TLDiet",0.000978609806576625,0.0716861412149919,1.36513109785294
"Woo->fecundity",0.00358724594888361,0.228446038834068,1.57028152783564
"habitatbenthopelagic <->habitatbenthopelagic",0.00263691164707332,1.22220321692668,0.215750671455769
"habitatdemersal <->habitatdemersal",0.00448995398894582,1.37269481810094,0.327090474134481
"habitatpelagic <->habitatpelagic",0.0117460982532077,2.42366402997982,0.484642182576166
"c_m <->c_m",1.18588664357603,2.20240085962741,53.8451771117019
"tm <->tm",6.60131122041723e-10,0.10356000560091,6.37438283448606e-07
"Lm <->Lm",8.56762498403726e-05,0.023820431680028,0.359675471004193
"tmax <->tmax",6.46984231167079e-05,0.057873661777263,0.111792516889135
"K <->K",0.0116578451296692,0.140418679286962,8.30220394385355
"Woo <->Woo",0.00483893776495488,0.157499263001396,3.07235581471387
"M <->M",0.0139087736834555,0.152583987783797,9.11548707401954
"TLDiet <->TLDiet",6.76883984858307e-06,0.033933571197863,0.0199473253466743
"Loo <->Loo",0.000355111834689574,0.137744247079584,0.257805202190697
"fecundity <->fecundity",0.000902191353476612,1.08208545298072,0.0833752409286558
"Min_caudalpeduncle_depth <->Min_caudalpeduncle_depth",2.85861989417238e-05,0.0352276726929958,0.0811469982443873
"Lower_jaw_length <->Lower_jaw_length",3.44582153081989e-05,0.0251737766164362,0.136881389841605
"Max_body_depth <->Max_body_depth",1.86900027903998e-05,0.00827381592776559,0.225893384063321
"Max_body_width <->Max_body_width",5.60529160427947e-06,0.00683192958746657,0.0820455119233457
"Temperature <->Temperature",0.000432455195146177,14.2596678251951,0.00303271577183643
