"","EstimateNotStd","jack_001_Anoplogaster_EstimateNotStd","jack_002_Arnoglossus_EstimateNotStd","jack_003_Brevoortia_EstimateNotStd","jack_004_Buglossidium_EstimateNotStd","jack_005_Callionymus_EstimateNotStd","jack_006_Carcharhinus_EstimateNotStd","jack_007_Chaenocephalus_EstimateNotStd","jack_008_Channa_EstimateNotStd","jack_009_Chelon_EstimateNotStd","jack_010_Chiloscyllium_EstimateNotStd","jack_011_Chromis_EstimateNotStd","jack_012_Engraulis_EstimateNotStd","jack_013_Gadus_EstimateNotStd","jack_014_Gasterosteus_EstimateNotStd","jack_015_Gillichthys_EstimateNotStd","jack_016_Glossogobius_EstimateNotStd","jack_017_Hippocampus_EstimateNotStd","jack_018_Hippoglossoides_EstimateNotStd","jack_019_Limanda_EstimateNotStd","jack_020_Lipophrys_EstimateNotStd","jack_021_Lutjanus_EstimateNotStd","jack_022_Mugil_EstimateNotStd","jack_023_Notothenia_EstimateNotStd","jack_024_Ophiodon_EstimateNotStd","jack_025_Pleuronectes_EstimateNotStd","jack_026_Pomadasys_EstimateNotStd","jack_027_Pseudopleuronectes_EstimateNotStd","jack_028_Scomber_EstimateNotStd","jack_029_Scophthalmus_EstimateNotStd","jack_030_Scyliorhinus_EstimateNotStd","jack_031_Sebastolobus_EstimateNotStd","jack_032_Solea_EstimateNotStd","jack_033_Squalus_EstimateNotStd","jack_034_Thunnus_EstimateNotStd","jack_035_Torpedo_EstimateNotStd","jack_036_Trematomus_EstimateNotStd","jack_037_Zoarces_EstimateNotStd","jack_038_Chanos_EstimateNotStd","jack_039_Dorosoma_EstimateNotStd","jack_040_Eleginus_EstimateNotStd","jack_041_Gilchristella_EstimateNotStd","jack_042_Oncorhynchus_EstimateNotStd","jack_043_Salmo_EstimateNotStd"
"1",-0.0686244448397282,-0.0671942762634586,-0.0886035417787267,-0.0783151026304441,-0.0687623504771484,-0.0483346513525243,-0.0800866543260833,-0.0732511797699352,-0.0525921194977706,-0.0727014737657252,-0.0682357698768241,-0.0414750228559664,-0.0211047924882246,-0.04711008017739,-0.0898260842962559,-0.059693321634825,-0.0450584946637711,-0.0631416157009919,-0.0727957862281144,-0.0679188572105515,-0.0691189990054848,-0.0352099724875595,-0.0637414733704959,-0.0584672627861746,-0.0714564181338911,-0.0720785743073847,-0.0809286941161159,-0.0569225579738477,-0.0610545913313055,-0.0675327653468594,-0.0992087403619822,-0.0509111301077414,-0.0666737740454264,-0.0655432573821612,-0.0694385930610656,-0.0662043026238855,-0.0826017754533707,-0.0526388291062932,-0.0756469455349492,-0.0709273952988585,-0.065868709309635,-0.0730844253187294,-0.0683021696882954,-0.0699744348354255
"2",-0.14992820982747,-0.144209213842819,-0.143698134503378,-0.165548838679343,-0.149165990417731,-0.223983586323539,-0.154589144848095,-0.138567987955424,-0.152485603244273,-0.146048794033024,-0.151035333345547,-0.212901701357535,-0.0876154010575934,-0.165586396183085,-0.135701071837786,-0.169303190026388,-0.145960832751731,-0.148324394432062,-0.139684882827359,-0.152175201559277,-0.159423158812376,-0.21383119228102,-0.153215582613525,-0.157919595415362,-0.147059165091489,-0.143334762118066,-0.166033007232428,-0.142122932190135,-0.14541194993966,-0.153693759562154,-0.132843783296319,-0.174747224228618,-0.156759963472886,-0.153423772112896,-0.159994156835339,-0.155346049385286,-0.147637767586317,-0.166886692091754,-0.144783793117194,-0.160069140938778,-0.153405984776275,-0.152455435095454,-0.154822470592387,-0.168567673178845
"3",0.134850964896771,0.125206806857543,0.13015026350165,0.154211296138018,0.134624867777564,0.16556043487194,0.135919909191914,0.120725876581426,0.128821098623418,0.137516195292974,0.135496136088199,0.145789874104338,0.0970640087446037,0.134601891121497,0.139736396819411,0.108435078437913,0.0810392714502477,0.141142248024229,0.129176888230333,0.136101060343004,0.141291131063584,0.133569591228093,0.138518955796029,0.136111850457804,0.132113742762815,0.132008370716352,0.131439372984814,0.130603674896598,0.126487405079311,0.1375799467647,0.142388535596257,0.141259635463709,0.137791055251743,0.127280503712315,0.139829377363019,0.137268483444784,0.148534539160238,0.137071821723254,0.136205687870861,0.140890986561249,0.134275148389945,0.140196077088536,0.137892099283569,0.144020064022314
"4",0.0279073812619317,0.0278493783592676,0.0280556611952851,0.0279559137951365,0.0279089588665856,0.0283557285675072,0.0281691122041549,0.0280337832020143,0.0277771115658266,0.0279342248589776,0.0279199850190482,0.0281135046276849,0.027564738313579,0.0280307708625794,0.0279522532064557,0.0275139962008096,0.0273288744555172,0.0281168319301461,0.0280502768359591,0.0279057448148396,0.0279398011647295,0.0280204545396902,0.0278774019187504,0.0279150436984331,0.0279506678098352,0.0278898164628707,0.0281861396394336,0.0281125088633088,0.0279179783871597,0.0279113159962209,0.0282972755455661,0.0280467028112184,0.0279844541995315,0.0278975230842982,0.0279560526930651,0.0279529563969838,0.0280479347049233,0.0277176415180218,0.0279520610669988,0.027889144922951,0.0278888507183826,0.0279312493950797,0.027965387263083,0.0280972118961075
"5",0.0299488252986775,0.0298664915843651,0.0301052980248252,0.0299941969446481,0.0299515959766742,0.0303290208204673,0.030260987687652,0.0301559977438363,0.0297938050947152,0.0299753261669225,0.0299613534878762,0.0299940593137449,0.0294134743041917,0.0301017452414384,0.0300608612353865,0.029545849116175,0.0292162754078733,0.0301394965098981,0.0302045193666242,0.0299483935809701,0.0299482113122591,0.0300115964981378,0.0299150763231302,0.029951443049526,0.0300014411154289,0.0299228727116546,0.0302846759452836,0.0301061533260141,0.0299313040105035,0.0299784832262469,0.030508006001963,0.0300887261907651,0.0300443536688436,0.0299036927662991,0.029991913595661,0.0299895277166375,0.0301399661549976,0.0296684857800011,0.0299948760827398,0.0298902168068782,0.0299125538446696,0.0299838865983821,0.0299877347733354,0.0300964316875486
"6",-0.0173911363072487,-0.0173974188353519,-0.0173914536998989,-0.0173758820104202,-0.0173921347508465,-0.0173663693717145,-0.0173791722723256,-0.017384349246594,-0.0173909695896666,-0.0173931006092795,-0.0173905729925083,-0.017365171050811,-0.0173895366971951,-0.0173729308484143,-0.0173950651153582,-0.0173876567052181,-0.0174172485728249,-0.0174071790296192,-0.0173843519195993,-0.0173903254757893,-0.0173856071607632,-0.0173664011005816,-0.0173905042886918,-0.0173845956369316,-0.0173896108640287,-0.0173942578546606,-0.0173829132922555,-0.0173894477376365,-0.0173914330097122,-0.0173920442128688,-0.017385672274846,-0.0173718112053341,-0.0173866159921706,-0.0173894575371268,-0.0173935935420334,-0.0173884100870034,-0.0173904451998951,-0.0173871441150104,-0.0173921275539093,-0.0173920811089155,-0.0173898954537492,-0.0173910832614797,-0.0173887377001809,-0.0173884866128157
"7",-0.790563285424531,-0.790824186743969,-0.790051916351589,-0.790507060753133,-0.79039063713161,-0.790101833038087,-0.788722312301373,-0.791846852136097,-0.790897181764807,-0.790566476400356,-0.79055971501995,-0.788858911683995,-0.790419009813872,-0.79119401226479,-0.79175191505854,-0.793484342401745,-0.791676870288193,-0.789947232340487,-0.791054347069831,-0.790584234204031,-0.79098260083308,-0.789210741994748,-0.790380482473927,-0.790670669884013,-0.790885181819109,-0.790796021349537,-0.790918483226303,-0.791067588498626,-0.790790185385958,-0.790406244565024,-0.788881883775904,-0.789762495608249,-0.790261835939972,-0.790302150551388,-0.790666547055862,-0.790548177124803,-0.789793537517193,-0.789392483699844,-0.79069721462834,-0.790398279220387,-0.790614733007258,-0.790462081198407,-0.790515762628289,-0.790443073797013
"8",-0.7088654666406,-0.709320611242758,-0.707704345141105,-0.708795120049931,-0.708597177340705,-0.70823155528736,-0.706237680017144,-0.710638145181797,-0.709552906015356,-0.708924135065943,-0.708848886233217,-0.707055600719463,-0.708907012299191,-0.710046510024289,-0.710732000867671,-0.713780763010558,-0.710585340778562,-0.706819140465229,-0.709215519342033,-0.708882822460182,-0.709524113962556,-0.706084736707258,-0.708414502380106,-0.709235634510185,-0.709457192222858,-0.709368342528778,-0.709458018841736,-0.709122298404721,-0.709071015757452,-0.708482992890538,-0.70581008757799,-0.707791119604291,-0.708506007999875,-0.708562084102757,-0.709088828584732,-0.708755933268564,-0.707548647621892,-0.707421430552915,-0.709078845841225,-0.70847558519441,-0.708957179794303,-0.708652827569722,-0.708943782916063,-0.708543903184054
"9",-0.00500845013479283,-0.00497107615659001,-0.00493707771759185,-0.00513744984615798,-0.00501181289504885,-0.00501034739735504,-0.00496459429761155,-0.0049257498016037,-0.00504081867891103,-0.00499100206195633,-0.0050018891413388,-0.00496293662844365,-0.00518608518228025,-0.00498308211710993,-0.00493391227283054,-0.00525236459770154,-0.0049981411930084,-0.00483324133544567,-0.00494007808521806,-0.0050056698564972,-0.00503277024363065,-0.00507663077102986,-0.00499299923194989,-0.00501501342493803,-0.00497281200971167,-0.00502399857637486,-0.00487133290609868,-0.00481330489998365,-0.00497005955390844,-0.00496738445532897,-0.00494631878860975,-0.00503854893465422,-0.00499116056360461,-0.00501280418383749,-0.00497240512551257,-0.00498544798318379,-0.0049983533440545,-0.00518286208793982,-0.00498934376116639,-0.00503254773204183,-0.00501854393440753,-0.00498112254355272,-0.00496398784269038,-0.0049138838360794
"10",-0.0131253397271532,-0.0131907656780504,-0.0132298041573297,-0.0129460580244309,-0.0131184451322696,-0.0131990278019307,-0.0129368072757227,-0.0132451234144442,-0.0130704455632916,-0.0131614546841423,-0.0131341847979003,-0.0131768201276657,-0.0129084281506815,-0.013160459240144,-0.0132410874388078,-0.0128549730093078,-0.0131479495663479,-0.0133667279666636,-0.013233101715887,-0.0131282650298759,-0.013099297756112,-0.013027616115859,-0.0131310879436168,-0.0131131862031293,-0.0131808015162691,-0.013118675885592,-0.0133974155842321,-0.0134325332125499,-0.0131482521206503,-0.0131623477193837,-0.0130456145424603,-0.0130779659347491,-0.0131237276436427,-0.0130945960404107,-0.0131623929494249,-0.013168909382888,-0.0131073928976916,-0.0128896032232114,-0.0131547905966674,-0.0131000649995857,-0.0131121099755255,-0.0131700388813295,-0.013211024205054,-0.0132480274850317
