"","habitatbenthopelagic","habitatdemersal","habitatpelagic","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Abudefduf_abdominalis",1.33485680910171,1.30573416917162,4.23392007764407,11.2032411097954,43.7306885409406,0.677864460523846,1.40381137370857,0.704603783285068,0.0786261658096381,11.436723102062,0,0.0740740657009791,0.0462968368875957,0,0,0,0,0
"Abudefduf_bengalensis",1.26033047872446,5.37990388065291,0.90668181363103,11.4752542774478,36.8785303828423,0.644901696323201,1.31964832547505,0.737035656224058,0.0991870195838351,12.1099575555659,0,0.0905641242534789,0.0222698205710822,0,0,0,0,0
"Abudefduf_concolor",0.402628729525291,1.13444748203303,0.563056196102273,11.4248303536149,5.52105627737233,0.512802757189058,1.49921211754636,1.58658482457625,0.205703377887125,12.775540777306,0,0.0655937038570891,0.0481674232530358,0,0,0,0,0
"Abudefduf_conformis",0.388490316116106,1.12546720817862,0.561840833145354,11.3031711734461,5.62099532608926,0.514522159768112,1.40253322806107,0.586277531386374,0.0906092602384993,9.98738379366362,0,0.0807964866188832,0.0166936570856314,0.000912902208825841,0.00232898050275366,0.0208472366942573,0.00264056229224392,0
"Abudefduf_declivifrons",0.393960470123008,1.12986142123089,0.561950389525652,11.443212384995,6.07920299343175,0.504232398030272,1.50659729827089,2.17116962153945,0.279543692332469,10.3274322932397,0,0.0851235855192508,0.0759168899676509,0,0,0,0,0
"Abudefduf_hoefleri",0.39378549016886,1.12994291664781,0.561842286677716,11.3076094107265,5.67751774064581,0.51191674706946,1.39883727188804,0.623113010333772,0.0858933404777392,9.50765855034854,0,0.0793677619970085,0.0161255682808391,0.00115608354972954,0.00262147894067796,0.0231342325138751,0.00263496190831516,0.000962893437816844
"Abudefduf_lorenzi",0.40369653887964,1.13630408467014,0.562732497463871,11.2957177913524,5.93748565225357,0.516256967070259,1.35999353166457,0.34678644764493,0.0550369396271375,7.87321474808757,0,0.0894843285738806,0.018370959762052,0,0,0,0,0
"Abudefduf_margariteus",1.44129338117915,3.19984641505164,0.563975137952439,11.2851685143945,5.19583924594785,0.578782904342021,1.76380189406788,2.42689417576356,0.197992442744626,17.3786042445,0,0.0645069645649883,0.0833427711873733,0,0,0,0,0.00915929813513067
"Abudefduf_natalensis",0.385032037975089,1.12424510164186,0.56123971624135,11.3044544557547,5.83224948670958,0.506853895027857,1.46299785797697,1.00789214614193,0.0892953537836926,10.014287118932,0,0.0787965606925676,0.0149088956317139,0.00364216284363084,0.00892028920655696,0.0481415917253805,0.00620943335232339,0
"Abudefduf_nigrimargo",0.383697602295062,1.12175830250937,0.561767355905235,11.3002245391406,5.55339451648502,0.515319015036624,1.42852640850004,0.679137757320262,0.0944486842685536,10.9801030975226,0,0.0817596365186047,0.0166514681074064,0.000685117158618898,0.00167469510063868,0.014061416091766,0.00145290105259368,0.000653627199990833
"Abudefduf_notatus",0.389431263952886,1.12626097697803,0.561835846341159,11.2985313592907,5.87788202038737,0.512385955316961,1.39384926787287,0.578282180733715,0.0794499137289646,9.00123564906532,0,0.116316521801487,0.0195904422784225,0,0,0,0,0
