"","Min_relative_sd","Max_relative_sd","Mean_relative_sd","Median_relative_sd"
"habitatbenthopelagic",0.00274895692173706,15223.6818889997,4.87531103283636,0.12823711922623
"habitatdemersal",0.00857852245060509,4534.12162112938,4.09563366153897,0.219345025769994
"habitatpelagic",0.0126226498033173,15554.7599386019,2.16041871005219,0.223915612405649
"c_m",0.0165409418217378,124.469129160909,17.4826392565004,11.5007839092231
"tm",0,106912.188393198,32.0997092770342,4.06346729237392
"Lm",0,14.9508413052191,0.448522739048221,0.341509770609015
"tmax",0,381264.201058376,92.3833607134897,1.24539212870253
"K",0,207211.897626998,58.9997202226895,1.97235807187333
"Woo",0,90.0140270322695,0.514211280165299,0.202547944204954
"M",0,554733.029944315,86.2621221953938,4.51426710554825
"TLDiet",0,0,0,0
"Loo",0,4.7350676886874,0.130823942286529,0.0784434467668562
"fecundity",0,162338.58719591,38.4499038447427,0.0618535838751879
"Min_caudalpeduncle_depth",0,18.3654468693141,0.278404116127656,0.0114291073417726
"Lower_jaw_length",0,374.900596074242,0.670592477047177,0.0210414906771883
"Max_body_depth",0,733.722403542137,2.2309886287845,0.0561822038930834
"Max_body_width",0,27.9935668942157,0.306651661725489,0.0146569096112034
"Temperature",0,29.75880142941,0.0195373364006978,0
"Standardised path coefficients",6.37438283448606e-07,154.600617144115,20.7456489137754,3.7373955474743
"Not standardised path coefficients",2.05602180698587e-07,151.11758660113,20.3103323590852,1.8300847423868
