"","EstimateNotStd","jack_ NA_NA_EstimateNotStd","jack_001_Anoplogaster_EstimateNotStd","jack_002_Arnoglossus_EstimateNotStd","jack_003_Brevoortia_EstimateNotStd","jack_004_Buglossidium_EstimateNotStd","jack_005_Callionymus_EstimateNotStd","jack_006_Carcharhinus_EstimateNotStd","jack_007_Chaenocephalus_EstimateNotStd","jack_008_Channa_EstimateNotStd","jack_009_Chelon_EstimateNotStd","jack_010_Chiloscyllium_EstimateNotStd","jack_011_Chromis_EstimateNotStd","jack_012_Engraulis_EstimateNotStd","jack_013_Gadus_EstimateNotStd","jack_014_Gasterosteus_EstimateNotStd","jack_015_Gillichthys_EstimateNotStd","jack_016_Glossogobius_EstimateNotStd","jack_017_Hippocampus_EstimateNotStd","jack_018_Hippoglossoides_EstimateNotStd","jack_019_Limanda_EstimateNotStd","jack_020_Lipophrys_EstimateNotStd","jack_021_Lutjanus_EstimateNotStd","jack_022_Mugil_EstimateNotStd","jack_023_Notothenia_EstimateNotStd","jack_024_Ophiodon_EstimateNotStd","jack_025_Pleuronectes_EstimateNotStd","jack_026_Pomadasys_EstimateNotStd","jack_027_Pseudopleuronectes_EstimateNotStd","jack_028_Scomber_EstimateNotStd","jack_029_Scophthalmus_EstimateNotStd","jack_030_Scyliorhinus_EstimateNotStd","jack_031_Sebastolobus_EstimateNotStd","jack_032_Solea_EstimateNotStd","jack_033_Squalus_EstimateNotStd","jack_034_Thunnus_EstimateNotStd","jack_035_Torpedo_EstimateNotStd","jack_036_Trematomus_EstimateNotStd","jack_037_Zoarces_EstimateNotStd","jack_038_Chanos_EstimateNotStd","jack_039_Dorosoma_EstimateNotStd","jack_040_Eleginus_EstimateNotStd","jack_041_Gilchristella_EstimateNotStd","jack_042_Oncorhynchus_EstimateNotStd","jack_043_Salmo_EstimateNotStd"
"1",-0.0686244448397282,-0.0686244443760304,-0.0675659502133587,-0.089260490072385,-0.0790288914731761,-0.0685069621351999,-0.0498913069491086,-0.0807330578301242,-0.0731213052759538,-0.0526097806199312,-0.0743377862328381,-0.0684411399254943,-0.0404726881731417,-0.0214771652119296,-0.0472528026516513,-0.0892525651895788,-0.0597602190056563,-0.0451766836924863,-0.0618149030779153,-0.0721853660204972,-0.067138263897686,-0.0698160323972917,-0.0404551078638961,-0.064768483173965,-0.0572248599059908,-0.0710240380038262,-0.0723763024823934,-0.0795376300088174,-0.0566213831747271,-0.0617708721461512,-0.0670251577943859,-0.0985994224235827,-0.0512628521802671,-0.0673416329864332,-0.0659506648754182,-0.0698374537223337,-0.0660168275971727,-0.0903978197763911,-0.0532367081933829,-0.0756319825840536,-0.0715672891598595,-0.0668128545350713,-0.0731003825326862,-0.0733556178148266,-0.0761519718891219
"2",-0.14992820982747,-0.149928210046705,-0.142619570382886,-0.142916200827178,-0.165634215010838,-0.149162486914777,-0.222805277972508,-0.152823611054257,-0.13866755571931,-0.152447930050326,-0.144589584638372,-0.150800295589115,-0.213459525565992,-0.0873317442621943,-0.166131170075819,-0.13641475700454,-0.169230778656794,-0.145284626112116,-0.147919361595188,-0.140199931407643,-0.152259935277163,-0.15816050797249,-0.209606543272478,-0.153473016375036,-0.158849163960515,-0.147371796660956,-0.142770303289737,-0.16665325790386,-0.142652859587567,-0.145357554897933,-0.15398870103643,-0.133498350395602,-0.174250066434469,-0.156543665828873,-0.152690390155526,-0.158628252804454,-0.154911095880914,-0.140794703336279,-0.165821909533156,-0.145134282585232,-0.159999871876605,-0.152136553625608,-0.152586370417759,-0.150530055675429,-0.160053228272475
"3",0.134850964896771,0.134850964856798,0.123878784800497,0.130052116677654,0.155037235862459,0.13455667950489,0.165752089419261,0.137171581289742,0.120787091426636,0.128808165931838,0.137224886614958,0.135742298631777,0.144474034091725,0.0971379344197788,0.135596329134333,0.139806635233747,0.108403472726535,0.0811740082153157,0.140365396914063,0.129733178933689,0.135959967974694,0.140894370225877,0.135515595424405,0.138137136796869,0.136513832012849,0.132376655073729,0.132145981965092,0.131865422397073,0.13093831860617,0.127059001599868,0.137574603179878,0.142217573962603,0.14057835648936,0.138173663307071,0.1271523233473,0.140005184981256,0.136588058875225,0.149204387564317,0.136587398304107,0.136408920195681,0.14135447023773,0.133773572679785,0.140302607027636,0.136909129891088,0.141996823944254
"4",0.0279073812619317,0.0279073812620024,0.0280062383261266,0.0280551976524391,0.0281333596190418,0.0278879100049453,0.0286405479440827,0.0277561808031803,0.0280350529730573,0.0277771656205588,0.0279199064923353,0.0279309861115761,0.0278100803238405,0.0273030857422127,0.0280936384508802,0.0279753715128874,0.0275117936652254,0.0272758994513778,0.0280662129062376,0.0280672746645056,0.0277586568348603,0.027859117863167,0.0280066400663629,0.0277390718061505,0.027884993034033,0.0279438807972991,0.0279032423081487,0.0279903119973857,0.0282929170121815,0.0278772429929344,0.0278772969665384,0.0282637022846494,0.0278345051728517,0.0280326928926706,0.0280582283943064,0.0280108411324546,0.0279279529807519,0.0280276955677459,0.0276641254479024,0.0278353756625582,0.0278864504718674,0.0278795516638769,0.0279330601821433,0.0281473885829007,0.0279320634649901
"5",0.0299488252986775,0.0299488252983054,0.0301418437206302,0.0301085764137662,0.029988748982447,0.0297986922999891,0.0304771896593078,0.030358754278226,0.0301621720373898,0.0297938830016036,0.0299500555998345,0.0299310810615673,0.0299470919525837,0.029933479268505,0.0302817273280118,0.0300669020430214,0.0295449954907821,0.0291948174408805,0.0303189256537489,0.0302216105244261,0.0298523360518226,0.0298641504958012,0.0314559375776763,0.0298694554945178,0.0300254791323232,0.0300272805819587,0.0299520636422174,0.030318132944612,0.0301037949803382,0.0291685813304356,0.0299197050088245,0.0305542396497546,0.0300642109119327,0.0304291463260426,0.0299019724024188,0.0303530727518776,0.0299839711578254,0.0300937053420122,0.0296634282761596,0.0299858562011856,0.0298893612048729,0.0298644920184038,0.0299859296662109,0.0300855845530706,0.0296245244326584
"6",-0.0173911363072487,-0.0173911363127352,-0.0174628160700392,-0.0173374672184714,-0.0172842863443087,-0.0175078586146819,-0.0172440940052395,-0.0169640848758096,-0.0173671652283878,-0.0173910151478163,-0.0173670080979345,-0.0173247861882647,-0.0173934181664387,-0.0174633215131086,-0.0173472032542694,-0.0173902479346605,-0.0173917217558125,-0.0175195552135294,-0.0174839253037112,-0.0174592077874416,-0.0174161272872472,-0.017323219754909,-0.0170894350505918,-0.0174468691963105,-0.0174730179852438,-0.0173340770225196,-0.0174087993292927,-0.0173338144594587,-0.0173807747717179,-0.0175293132055524,-0.017422702016767,-0.0174530398750134,-0.0173756538787687,-0.0174596388208219,-0.0173507359860915,-0.0174581154580761,-0.0173946735360968,-0.0174194379870173,-0.0173624818658548,-0.0174496863844547,-0.0173770540857915,-0.0174114745426766,-0.0173906589132511,-0.0173841715331847,-0.0174341493749734
"7",-0.790563285424531,-0.790563285444833,-0.789895484797892,-0.790034119657554,-0.790561257518262,-0.790481785950457,-0.790581717757311,-0.786797014715571,-0.79180854333124,-0.790897419008881,-0.790491128312039,-0.790628562037671,-0.787268187583136,-0.791140349012834,-0.792114221216564,-0.791065287089363,-0.793485592366115,-0.792082809613338,-0.78733437603641,-0.78977040230943,-0.790563334545566,-0.790818167893311,-0.78834607392448,-0.791302100080858,-0.79200992326162,-0.792250417767916,-0.790663963447307,-0.795707045344588,-0.790919462084083,-0.792643565202657,-0.79072164974426,-0.788938405340313,-0.788785257850974,-0.789780065700647,-0.79088784198766,-0.791037668116526,-0.792181739375447,-0.790965518515959,-0.789640558309508,-0.791113921077326,-0.790197438003761,-0.790584179306761,-0.790489381046904,-0.793170967448851,-0.794494760961897
"8",-0.7088654666406,-0.708865466652579,-0.707563413246083,-0.708746341640066,-0.70905134080013,-0.710507076234866,-0.708194466326834,-0.700194235579155,-0.71066164955468,-0.709553132257973,-0.708699938597849,-0.708335959896299,-0.706897096277025,-0.710223500225693,-0.711628708270417,-0.711091811469082,-0.71377381186253,-0.710682512421431,-0.722263671628609,-0.708576957413343,-0.708970933265881,-0.70937200126728,-0.721968250539587,-0.708519974894108,-0.710399596644294,-0.712786104417253,-0.709259796199832,-0.705663222989983,-0.708851334579515,-0.712818016157406,-0.707328552901127,-0.70532448396804,-0.70774576543347,-0.70779934452389,-0.708800910272675,-0.711026023046323,-0.709036863892485,-0.708676987976127,-0.709768640809645,-0.709111410046217,-0.708531468754677,-0.708989197972117,-0.708687449702367,-0.713973571277647,-0.716070451650374
"9",-0.00500845013479283,-0.00500844999882296,-0.00515850771492565,-0.00442356665387435,-0.00488244320690569,-0.00491626177484016,-0.00429304572803866,-0.00501087331541014,-0.0047859467309791,-0.00504076041967026,-0.00497835489530105,-0.00501362201264064,-0.00532954714886677,-0.00546179409082321,-0.0053999817310017,-0.00596545341688161,-0.00551102835057006,-0.00559111155220476,-0.00212591177462205,-0.00563318642775605,-0.00506682179636941,-0.00536305867141005,-0.00232824271068759,-0.00516090435494843,-0.00512600636260236,-0.00539668895979984,-0.00495042381777453,-0.00530007603816933,-0.00473980998958531,-0.00443263219075835,-0.0047711580113835,-0.00494810305190706,-0.00549055057441951,-0.00483692204822843,-0.00499247500410891,-0.00525540451948661,-0.00501694872564157,-0.00640377737493994,-0.00487879986605611,-0.00490738776621355,-0.00427514865035989,-0.0050558866717021,-0.00493775763582716,-0.00482280713968702,-0.00443100224726959
"10",-0.0131253397271532,-0.0131253398933394,-0.0128158712618164,-0.0137742298998552,-0.0133152541515486,-0.0131593077899671,-0.0138651622353837,-0.0129462014141649,-0.013303547659742,-0.0130704707199247,-0.0131750140800532,-0.0131157158043797,-0.0127849978143374,-0.0126544030645331,-0.0129830761029957,-0.0119543292348853,-0.012634214751487,-0.0125992416194117,-0.0173459798235026,-0.0125759648877048,-0.0130128088484828,-0.0127611085060001,-0.0162755121671359,-0.0130634200311542,-0.0132244147124698,-0.0126250162567187,-0.0132486717443637,-0.0126594381912215,-0.0134704493605721,-0.0136183154075081,-0.0134025398003621,-0.0130346174843601,-0.0126094354567181,-0.0132731180710209,-0.0130972272460137,-0.0136365371402873,-0.0131210258824423,-0.0118390506358801,-0.0135064092069258,-0.0133086305418386,-0.0142341937164694,-0.013123371752348,-0.0133365259696238,-0.0136214747103645,-0.0135880327915348
