Species;Temp(degC);Int(mmol);Slope(b);MinMb(g);MaxMb(g);MedMb(g);VO2(MedMb);VO2(47g);;SMR(MedMb)mW
Liparius atlanticus;-1.5;-6.930;0.742;0.6;2.0;1.285;0.001;0.017;;0.142074804
Liza dumerili;18;-5.003;0.808;8.1;17.0;12.55;0.052;0.151;;6.252754048
Liza dumerili;18;-5.363;0.900;21.8;62.9;42.35;0.136;0.150;;16.4304099
Liza dumerili;23;-4.436;0.808;7.0;35.1;21.05;0.139;0.266;;16.73917283
Liza dumerili;23;-4.844;0.900;4.5;212.0;108.25;0.533;0.251;;64.21109027
Liza richardsonii;18;-4.918;0.852;5.2;33.8;19.5;0.092;0.194;;11.05904457
Liza richardsonii;23;-4.596;0.852;2.0;56.8;29.4;0.180;0.268;;21.65416152
Lycodes eudipleurostictus;0;-7.483;0.890;3.3;226.1;114.7;0.038;0.017;;4.616632347
Lycodes mucosus;-1.5;-6.789;0.815;0.1;147.0;73.548;0.037;0.026;;4.515065741
Lycodes pallidus;0;-7.195;0.750;3.2;65.2;34.2;0.011;0.013;;1.278746015
Lycodes reticulatus;0;-7.329;1.040;3.0;377.3;190.15;0.154;0.036;;18.55773072
Lycodes seminudus;0;-7.041;0.840;40.3;228.7;134.5;0.054;0.022;;6.4767874
Lycodes turneri;-1.5;-6.789;0.815;0.1;147.0;73.548;0.037;0.026;;4.515065741
Mugil cephalas;18;-4.836;0.849;10.5;13.0;11.75;0.064;0.208;;7.741071876
Mugil cephalas;18;-5.192;0.855;9.7;39.6;24.65;0.086;0.150;;10.38970504
Mugil cephalas;23;-4.556;0.849;22.5;90.4;56.45;0.322;0.275;;38.78496427
Mugil cephalas;23;-4.621;0.855;12.2;92.0;52.1;0.289;0.265;;34.86773965
Mystus cavensius;29;-3.727;0.662;4.0;56.0;30;0.229;0.308;;27.56738457
Myxocephalus scorpius;-1.5;-6.085;0.909;0.1;577.0;288.55;0.391;0.075;;47.1771705
Notothenia angustifrons;3;-5.224;0.861;0.1;44.0;22.06;0.077;0.148;;9.323623646
Notothenia neglecta;0;-6.176;0.790;0.9;1850.0;925.45;0.458;0.044;;55.24357103
Notothenia neglecta;0.6;-4.914;0.785;30.0;2000.0;1015;1.682;0.151;;202.8214719
Notothenia nudifrons;3;-5.650;0.888;0.2;36.0;18.09;0.046;0.108;;5.554552658
Notothenia rossii;0.6;-6.443;0.958;300.0;900.0;600;0.730;0.064;;88.01165935
Notothenia rossii;3;-4.447;0.616;1.4;708.0;354.71;0.435;0.125;;52.41345378
Oreochromis alcalicus grahami;37;-3.413;0.748;0.8;10.2;5.515;0.118;0.587;;14.24675961
Oreochromis niltoicus;25;-4.880;0.754;18.2;1720.0;869.1;1.250;0.138;;150.6577808
Oronchynchus nerka;5;-6.330;0.914;5.0;2000.0;1002.5;0.986;0.060;;118.9106282
Oronchynchus nerka;15;-5.324;0.847;5.0;2000.0;1002.5;1.692;0.127;;203.9835068
Oronchynchus nerka;20;-5.159;0.884;1.0;2000.0;1000.5;2.589;0.173;;312.0681355
Pagothenia borchgrevinki;0;-5.651;0.825;13.0;130.0;71.5;0.119;0.084;;14.3465728
Platichthys flesus;2;-5.967;0.739;3.0;183.0;93;0.073;0.044;;8.801584077
Platichthys flesus;5;-6.369;0.827;6.0;800.0;403;0.245;0.041;;29.48646149
