"","X","SpecCode","Brack","Saltwater","DemersPelag","Species","Genus","Subfamily","Family","Order","Class","SuperClass","c_m","eps_m"
"3263",3263,5572,0,1,"benthopelagic","Chaetodon quadrimaculatus","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3264",3264,5573,1,1,"benthopelagic","Chaetodon rafflesii","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3265",3265,6631,0,1,"benthopelagic","Chaetodon rainfordi","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3266",3266,5574,0,1,"benthopelagic","Chaetodon reticulatus","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3267",3267,10191,0,1,"benthopelagic","Chaetodon robustus","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3268",3268,12536,0,1,"benthopelagic","Chaetodon sanctaehelenae","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3269",3269,3605,0,1,"benthopelagic","Chaetodon sedentarius","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3270",3270,6634,0,1,"benthopelagic","Chaetodon selene","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3271",3271,5575,0,1,"benthopelagic","Chaetodon semeion","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3272",3272,12300,0,1,"benthopelagic","Chaetodon semilarvatus","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3273",3273,12648,0,1,"benthopelagic","Chaetodon smithi","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3274",3274,5576,0,1,"benthopelagic","Chaetodon speculum","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3275",3275,3606,0,1,"benthopelagic","Chaetodon striatus","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3276",3276,5577,0,1,"benthopelagic","Chaetodon tinkeri","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3277",3277,7805,0,1,"benthopelagic","Chaetodon triangulum","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3278",3278,12537,0,1,"benthopelagic","Chaetodon trichrous","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3279",3279,6636,0,1,"benthopelagic","Chaetodon tricinctus","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3280",3280,5578,0,1,"benthopelagic","Chaetodon trifascialis","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3281",3281,5579,0,1,"benthopelagic","Chaetodon trifasciatus","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3282",3282,5580,0,1,"benthopelagic","Chaetodon ulietensis","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3283",3283,5581,0,1,"benthopelagic","Chaetodon unimaculatus","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3284",3284,5582,0,1,"benthopelagic","Chaetodon vagabundus","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3285",3285,6666,0,1,"benthopelagic","Chaetodon wiebeli","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3286",3286,7794,0,1,"benthopelagic","Chaetodon xanthocephalus","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3287",3287,6508,0,1,"benthopelagic","Chaetodon xanthurus","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3288",3288,8933,0,1,"benthopelagic","Chaetodon zanzibarensis","Chaetodon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3289",3289,10882,0,1,"benthopelagic","Chaetodontoplus ballinae","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3290",3290,11116,0,1,"benthopelagic","Chaetodontoplus caeruleopunctatus","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3291",3291,67409,0,1,"benthopelagic","Chaetodontoplus cephalareticulatus","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3292",3292,11119,0,1,"benthopelagic","Chaetodontoplus chrysocephalus","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3293",3293,10819,0,1,"benthopelagic","Chaetodontoplus conspicillatus","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3294",3294,61657,0,1,"benthopelagic","Chaetodontoplus dimidiatus","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3295",3295,10823,0,1,"benthopelagic","Chaetodontoplus duboulayi","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3296",3296,10472,0,1,"benthopelagic","Chaetodontoplus melanosoma","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3297",3297,10851,0,1,"benthopelagic","Chaetodontoplus meredithi","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3298",3298,5660,0,1,"benthopelagic","Chaetodontoplus mesoleucus","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3299",3299,60410,0,1,"benthopelagic","Chaetodontoplus niger","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3300",3300,10828,0,1,"benthopelagic","Chaetodontoplus personifer","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3301",3301,65526,0,1,"benthopelagic","Chaetodontoplus poliourus","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3302",3302,11124,0,1,"benthopelagic","Chaetodontoplus septentrionalis","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3303",3303,64204,0,1,"benthopelagic","Chaetodontoplus vanderloosi","Chaetodontoplus",NA,"Pomacanthidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3304",3304,66970,0,1,"demersal","Chaeturichthys jeoni","Chaeturichthys","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"3305",3305,23699,0,1,"demersal","Chaeturichthys stigmatias","Chaeturichthys","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"3306",3306,16942,0,1,"demersal","Chalaroderma capito","Chalaroderma","Salariinae","Blenniidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"3307",3307,16943,0,1,"demersal","Chalaroderma ocellata","Chalaroderma","Salariinae","Blenniidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"3308",3308,16930,0,1,"benthopelagic","Chalixodytes chameleontoculis","Chalixodytes",NA,"Creediidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"3309",3309,17454,0,1,"benthopelagic","Chalixodytes tauensis","Chalixodytes",NA,"Creediidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"3310",3310,5133,0,1,"demersal","Champsocephalus esox","Champsocephalus",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3311",3311,474,0,1,"benthopelagic","Champsocephalus gunnari","Champsocephalus",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3312",3312,52892,0,1,"demersal","Champsodon atridorsalis","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"3313",3313,10296,0,1,"demersal","Champsodon capensis","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"3314",3314,52893,0,1,"benthopelagic","Champsodon fimbriatus","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"3315",3315,10358,0,1,"pelagic","Champsodon guentheri","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"3316",3316,10502,0,1,"pelagic","Champsodon longipinnis","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"3317",3317,52895,0,1,"demersal","Champsodon machaeratus","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"3318",3318,10357,0,1,"pelagic","Champsodon nudivittis","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"3319",3319,15604,0,1,"demersal","Champsodon omanensis","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"3320",3320,52900,0,1,"demersal","Champsodon pantolepis","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"3321",3321,52896,0,1,"demersal","Champsodon sagittus","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"3322",3322,52768,0,1,"demersal","Champsodon sechellensis","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"3323",3323,23513,0,1,"demersal","Champsodon snyderi","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"3324",3324,52902,0,1,"demersal","Champsodon vorax","Champsodon",NA,"Champsodontidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"3325",3325,69341,0,1,"benthopelagic","Channa brunnea","Channa",NA,"Channidae","Anabantiformes","Teleostei","Osteichthyes",NA,NA
"3326",3326,60587,0,1,"demersal","Channichthys aelitae","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3327",3327,60588,0,1,"demersal","Channichthys bospori","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3328",3328,60589,0,1,"demersal","Channichthys irinae","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3329",3329,64921,0,1,"demersal","Channichthys mithridatis","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3330",3330,52686,0,1,"demersal","Channichthys panticapaei","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3331",3331,477,0,1,"demersal","Channichthys rhinoceratus","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3332",3332,66607,0,1,"demersal","Channichthys richardsoni","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3333",3333,61361,0,1,"demersal","Channichthys rugosus","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3334",3334,60330,0,1,"demersal","Channichthys velifer","Channichthys",NA,"Channichthyidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3335",3335,62160,0,1,"demersal","Channomuraena bauchotae","Channomuraena","Uropterygiinae","Muraenidae","Anguilliformes","Teleostei","Osteichthyes",NA,NA
"3336",3336,1097,0,1,"benthopelagic","Channomuraena vittata","Channomuraena","Uropterygiinae","Muraenidae","Anguilliformes","Teleostei","Osteichthyes",NA,NA
"3337",3337,80,1,1,"benthopelagic","Chanos chanos","Chanos",NA,"Chanidae","Gonorynchiformes","Teleostei","Osteichthyes",6762056557506.45,0.674428707536212
"3338",3338,5081,0,1,"demersal","Chelidonichthys lastoviza","Chelidonichthys","Triglinae","Triglidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA
"3339",3339,1366,0,1,"demersal","Chelidonichthys lucerna","Chelidonichthys","Triglinae","Triglidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA
"3340",3340,9197,0,1,"demersal","Chelidonichthys obscurus","Chelidonichthys","Triglinae","Triglidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA
"3341",3341,7948,0,1,"demersal","Chelidonichthys queketti","Chelidonichthys","Triglinae","Triglidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA
"3342",3342,4598,0,1,"demersal","Chelidonichthys spinosus","Chelidonichthys","Triglinae","Triglidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA
"3343",3343,5100,0,1,"demersal","Chelidoperca africana","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3344",3344,69284,0,1,"demersal","Chelidoperca barazeri","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3345",3345,69280,0,1,"demersal","Chelidoperca cerasina","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3346",3346,69485,0,1,"benthopelagic","Chelidoperca flavimacula","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3347",3347,69281,0,1,"demersal","Chelidoperca flavolineata","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3348",3348,69650,0,1,"demersal","Chelidoperca formosa","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3349",3349,8237,0,1,"demersal","Chelidoperca hirundinacea","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3350",3350,60291,0,1,"demersal","Chelidoperca investigatoris","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3351",3351,56308,0,1,"demersal","Chelidoperca lecromi","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3352",3352,69282,0,1,"demersal","Chelidoperca leucostigmata","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3353",3353,66968,0,1,"demersal","Chelidoperca maculicauda","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3354",3354,15050,0,1,"demersal","Chelidoperca margaritifera","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3355",3355,69283,0,1,"demersal","Chelidoperca microdon","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3356",3356,69484,0,1,"benthopelagic","Chelidoperca myathantuni","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3357",3357,66969,0,1,"demersal","Chelidoperca occipitalis","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3358",3358,23418,0,1,"demersal","Chelidoperca pleurospilus","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3359",3359,67613,0,1,"pelagic","Chelidoperca santosi","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3360",3360,68588,0,1,"benthopelagic","Chelidoperca stella","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3361",3361,68807,0,1,"benthopelagic","Chelidoperca tosaensis","Chelidoperca",NA,"Serranidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3362",3362,6650,0,1,"benthopelagic","Chelmon marginalis","Chelmon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3363",3363,6651,1,1,"benthopelagic","Chelmon muelleri","Chelmon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3364",3364,5483,1,1,"benthopelagic","Chelmon rostratus","Chelmon",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3365",3365,25434,0,1,"benthopelagic","Chelmonops curiosus","Chelmonops",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3366",3366,10286,0,1,"benthopelagic","Chelmonops truncatus","Chelmonops",NA,"Chaetodontidae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"3367",3367,1735,1,1,"pelagic","Chelon auratus","Chelon",NA,"Mugilidae","Mugiliformes","Teleostei","Osteichthyes",NA,NA
"3368",3368,66211,1,1,"demersal","Chelon bandialensis","Chelon",NA,"Mugilidae","Mugiliformes","Teleostei","Osteichthyes",28239481.4490806,0.375820206715883
"3369",3369,22487,0,1,"demersal","Chelon bispinosus","Chelon",NA,"Mugilidae","Mugiliformes","Teleostei","Osteichthyes",28239481.4490806,0.375820206715883
"3370",3370,69222,0,1,"demersal","Chelon caeruleus","Chelon",NA,"Mugilidae","Mugiliformes","Teleostei","Osteichthyes",28239481.4490806,0.375820206715883
"3371",3371,5115,1,1,"demersal","Chelon dumerili","Chelon",NA,"Mugilidae","Mugiliformes","Teleostei","Osteichthyes",28239481.4490806,0.375820206715883
"3372",3372,13154,0,1,"benthopelagic","Chirolophis japonicus","Chirolophis","Chirolophinae","Stichaeidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3373",3373,3781,0,1,"demersal","Chirolophis nugator","Chirolophis","Chirolophinae","Stichaeidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3374",3374,23772,0,1,"demersal","Chirolophis saitone","Chirolophis","Chirolophinae","Stichaeidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3375",3375,23773,0,1,"demersal","Chirolophis snyderi","Chirolophis","Chirolophinae","Stichaeidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3376",3376,3782,0,1,"demersal","Chirolophis tarsodes","Chirolophis","Chirolophinae","Stichaeidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3377",3377,60430,0,1,"demersal","Chirolophis wui","Chirolophis","Chirolophinae","Stichaeidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3378",3378,54945,0,1,"demersal","Chironemus bicornis","Chironemus",NA,"Chironemidae","Centrarchiformes","Teleostei","Osteichthyes",NA,NA
"3379",3379,60597,0,1,"demersal","Chironemus delfini","Chironemus",NA,"Chironemidae","Centrarchiformes","Teleostei","Osteichthyes",NA,NA
"3380",3380,24580,0,1,"demersal","Chascanopsetta crumenalis","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA
"3381",3381,69151,0,1,"demersal","Chascanopsetta danae","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA
"3382",3382,58964,0,1,"demersal","Chascanopsetta elski","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA
"3383",3383,58966,0,1,"demersal","Chascanopsetta kenyaensis","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA
"3384",3384,1323,0,1,"demersal","Chascanopsetta lugubris","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA
"3385",3385,59543,0,1,"demersal","Chascanopsetta megagnatha","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA
"3386",3386,24356,0,1,"demersal","Chascanopsetta micrognatha","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA
"3387",3387,69682,0,1,"demersal","Chascanopsetta novaeguineae","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA
"3388",3388,24227,0,1,"demersal","Chascanopsetta prognatha","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA
"3389",3389,24561,0,1,"demersal","Chascanopsetta prorigera","Chascanopsetta",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA
"3390",3390,3754,1,1,"demersal","Chasmodes bosquianus","Chasmodes","Salariinae","Blenniidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"3391",3391,59791,0,1,"demersal","Chasmodes longimaxilla","Chasmodes","Salariinae","Blenniidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"3392",3392,3755,1,1,"demersal","Chasmodes saburrae","Chasmodes","Salariinae","Blenniidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"3393",3393,23162,0,1,"demersal","Chatrabus felinus","Chatrabus","Halophryninae","Batrachoididae","Batrachoidiformes","Teleostei","Osteichthyes",NA,NA
"3394",3394,17065,1,1,"demersal","Chatrabus hendersoni","Chatrabus","Halophryninae","Batrachoididae","Batrachoidiformes","Teleostei","Osteichthyes",NA,NA
"3395",3395,10255,0,1,"demersal","Chatrabus melanurus","Chatrabus","Halophryninae","Batrachoididae","Batrachoidiformes","Teleostei","Osteichthyes",NA,NA
"3396",3396,55080,0,1,"pelagic","Chauliodus barbatus","Chauliodus","Chauliodontinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes",NA,NA
"3397",3397,11712,0,1,"pelagic","Chauliodus danae","Chauliodus","Chauliodontinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes",NA,NA
"3398",3398,59117,0,1,"pelagic","Chauliodus dentatus","Chauliodus","Chauliodontinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes",NA,NA
"3399",3399,2714,0,1,"pelagic","Chauliodus macouni","Chauliodus","Chauliodontinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes",NA,NA
"3400",3400,11714,0,1,"pelagic","Chauliodus minimus","Chauliodus","Chauliodontinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes",NA,NA
"3401",3401,47132,0,1,"pelagic","Chauliodus pammelas","Chauliodus","Chauliodontinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes",NA,NA
"3402",3402,5480,0,1,"pelagic","Chauliodus schmidti","Chauliodus","Chauliodontinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes",NA,NA
"3403",3403,1786,0,1,"pelagic","Chauliodus sloani","Chauliodus","Chauliodontinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes",NA,NA
"3404",3404,55094,0,1,"pelagic","Chauliodus vasnetzovi","Chauliodus","Chauliodontinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes",NA,NA
"3405",3405,9879,0,1,"demersal","Chaunacops coloratus","Chaunacops",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3406",3406,9875,0,1,"demersal","Chaunacops melanostomus","Chaunacops",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3407",3407,55702,0,1,"demersal","Chaunacops roseus","Chaunacops",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3408",3408,68872,0,1,"demersal","Chaunacops spinosus","Chaunacops",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3409",3409,8236,0,1,"demersal","Chaunax abei","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3410",3410,67290,0,1,"demersal","Chaunax africanus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3411",3411,69853,0,1,"demersal","Chaunax albatrossae","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3412",3412,67292,0,1,"demersal","Chaunax apus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3413",3413,68666,0,1,"demersal","Chaunax atimovatae","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3414",3414,69852,0,1,"demersal","Chaunax brachysomus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3415",3415,59757,0,1,"benthopelagic","Chaunax breviradius","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3416",3416,14050,0,1,"demersal","Chaunax endeavouri","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3417",3417,69854,0,1,"demersal","Chaunax erythraeus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3418",3418,10435,0,1,"demersal","Chaunax fimbriatus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3419",3419,60591,0,1,"demersal","Chaunax flammeus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3420",3420,67187,0,1,"benthopelagic","Chaunax flavomaculatus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3421",3421,69851,0,1,"demersal","Chaunax gomoni","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3422",3422,68667,0,1,"demersal","Chaunax heemstraorum","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3423",3423,68668,0,1,"demersal","Chaunax hollemani","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3424",3424,60590,0,1,"demersal","Chaunax latipunctatus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3425",3425,67188,0,1,"demersal","Chaunax mulleus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3426",3426,69247,0,1,"demersal","Chaunax multilepis","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3427",3427,67291,0,1,"demersal","Chaunax nebulosus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3428",3428,65482,0,1,"demersal","Chaunax nudiventer","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3429",3429,69855,0,1,"demersal","Chaunax obscurus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3430",3430,9870,0,1,"demersal","Chaunax penicillatus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3431",3431,5047,0,1,"demersal","Chaunax pictus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3432",3432,67189,0,1,"demersal","Chaunax reticulatus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3433",3433,67190,0,1,"benthopelagic","Chaunax russatus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3434",3434,3090,0,1,"demersal","Chaunax stigmaeus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3435",3435,54263,0,1,"demersal","Chaunax suttkusi","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
"3436",3436,55227,0,1,"demersal","Chaunax umbrinus","Chaunax",NA,"Chaunacidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA
