"","Ref","OxygenCons","Weight","Temperature","SpecCode","MetabolicLevel","AppliedStress","OxygenRefNo","Species","Genus","Subfamily","Family","Order","Class","SuperClass","Brack","Saltwater","DemersPelag"
"377","fishbase",0.05313,0.000231,17,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"380","fishbase",2.28,0.02,18.5,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"381","fishbase",2.604,0.021,18.5,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"382","fishbase",2.73,0.021,18.5,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"385","fishbase",4.587,0.033,17,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"386","fishbase",3.54568,0.0376,13,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"388","fishbase",2.772,0.04,13,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"389","fishbase",5.04,0.04,17,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"390","fishbase",0.547597,0.047,18,35,"standard","none specified",85173,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"391","fishbase",4.181355,0.047,20,35,"standard","none specified",85173,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"392","fishbase",6.34218,0.047,24,35,"standard","none specified",85173,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"393","fishbase",7.91254447,0.047,27,35,"standard","none specified",85173,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"394","fishbase",2.96448,0.0512,14,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"395","fishbase",7.02,0.054,17,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"398","fishbase",1.4338,0.067,13,35,"routine","none specified",2203,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"400","fishbase",2.355,0.075,21,35,"routine","none specified",2203,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"401","fishbase",3.54,0.075,22,35,"routine","none specified",2203,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"402","fishbase",4.5,0.075,25,35,"routine","none specified",2203,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"403","fishbase",3.75,0.075,27,35,"routine","none specified",2203,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"404","fishbase",6,0.075,30,35,"routine","none specified",2203,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"405","fishbase",4.088,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"406","fishbase",4.56,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"407","fishbase",4.592,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"408","fishbase",5.184,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"409","fishbase",5.216,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"410","fishbase",5.48,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"411","fishbase",5.752,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"412","fishbase",5.824,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"413","fishbase",5.928,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"414","fishbase",5.984,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"415","fishbase",6.072,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"416","fishbase",6.12,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"417","fishbase",6.816,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"418","fishbase",6.872,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"419","fishbase",7.112,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"420","fishbase",7.256,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"421","fishbase",8.08,0.08,25,35,"standard","none specified",2120,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"435","fishbase",10.53,0.09,17,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"436","fishbase",7.7175,0.1125,15.5,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"437","fishbase",11.112,0.12,20,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"438","fishbase",12,0.15,20,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"439","fishbase",6.26175,0.1815,14,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"440","fishbase",6.8816,0.1955,12,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"526","fishbase",20.07,0.223,20,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"527","fishbase",19.711,0.23,20,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"528","fishbase",42.398,0.43,17,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"529","fishbase",47.821,0.485,17,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"533","fishbase",74.9139,1.191,17,35,"routine","none specified",2093,"Anguilla anguilla","Anguilla",NA,"Anguillidae","Anguilliformes","Teleostei","Osteichthyes",1,1,"demersal"
"534","fishbase",2.41909,0.047,11,43,"standard","none specified",85173,"Arnoglossus thori","Arnoglossus",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",0,1,"demersal"
"535","fishbase",2.58077,0.047,19,43,"standard","none specified",85173,"Arnoglossus thori","Arnoglossus",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes",0,1,"demersal"
"536","fishbase",1.21448,0.047,11,53,"standard","none specified",85173,"Buglossidium luteum","Buglossidium",NA,"Soleidae","Pleuronectiformes","Teleostei","Osteichthyes",0,1,"demersal"
"537","fishbase",2.42849,0.047,19,53,"standard","none specified",85173,"Buglossidium luteum","Buglossidium",NA,"Soleidae","Pleuronectiformes","Teleostei","Osteichthyes",0,1,"demersal"
"552","fishbase",2.3814,0.0147,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"553","fishbase",2.6607,0.0147,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"554","fishbase",2.2509,0.0183,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"555","fishbase",2.5071,0.0183,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"556","fishbase",2.3868,0.0204,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"557","fishbase",2.958,0.0204,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"574","fishbase",5.16013,0.047,3,69,"standard","none specified",85173,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"575","fishbase",6.60867,0.047,10,69,"standard","none specified",85173,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"576","fishbase",5.75844,0.047,12,69,"standard","none specified",85173,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"593","fishbase",7.4542,0.0611,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"594","fishbase",8.7373,0.0611,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"601","fishbase",6.6672,0.072,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"617","fishbase",18.2,0.14,15,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"618","fishbase",22.95,0.15,15,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"619","fishbase",19.998,0.1515,15,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"622","fishbase",19.55,0.17,11.5,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"623","fishbase",14.2206,0.173,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"624","fishbase",18.471420982,0.18810001,10,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"626","fishbase",23.005,0.215,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"627","fishbase",18.53,0.218,11.5,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"628","fishbase",19.722,0.228,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"629","fishbase",28.728,0.228,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"631","fishbase",20.74,0.244,11.5,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"632","fishbase",19.685,0.254,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"633","fishbase",16.7232,0.268,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"634","fishbase",27.451,0.283,11.5,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"635","fishbase",19.6685,0.283,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"636","fishbase",24.596,0.286,11.5,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"638","fishbase",13.68,0.304,11.5,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"639","fishbase",20.224,0.316,11.5,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"640","fishbase",23.68,0.32,10,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"641","fishbase",46.76,0.334,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"642","fishbase",29.4,0.35,15,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"643","fishbase",27.2516,0.353,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"645","fishbase",21.392,0.382,11.5,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"647","fishbase",21.5,0.43,3,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"648","fishbase",39.56,0.43,15,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"649","fishbase",40.92,0.44,11.5,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"650","fishbase",35.88,0.46,15,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"651","fishbase",46.864,0.464,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"652","fishbase",43.12,0.49,15,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"653","fishbase",25,0.5,3,69,"routine","none specified",2203,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"654","fishbase",37.15,0.5,10,69,"routine","none specified",2203,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"655","fishbase",45.75,0.5,15,69,"routine","none specified",2203,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"656","fishbase",41.82,0.51,15,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"657","fishbase",30.3548,0.518,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"658","fishbase",54.908,0.518,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"659","fishbase",76.375,0.611,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"661","fishbase",42.88,0.64,10,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"662","fishbase",72.24,0.645,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"663","fishbase",52.5,0.7,15,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"664","fishbase",37.728,0.72,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"665","fishbase",58.1372,0.803,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"666","fishbase",39.7712,0.848,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"667","fishbase",49.4334,0.947,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"668","fishbase",42.9,1,3,69,"routine","none specified",2203,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"670","fishbase",68.6,1,10,69,"routine","none specified",2203,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"671","fishbase",73,1,10,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"672","fishbase",55.1,1,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"673","fishbase",78.6,1,15,69,"routine","none specified",2203,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"674","fishbase",39.52,1.04,3,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"675","fishbase",77.04,1.07,10,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"676","fishbase",49.28,1.12,3,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"677","fishbase",95.088,1.12,12,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"678","fishbase",44.46,1.14,5,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"679","fishbase",66.7,1.15,10,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"680","fishbase",119.26,1.34,15,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"681","fishbase",102.24,1.42,15,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"682","fishbase",90.72,1.44,15,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"683","fishbase",62.35,1.45,3,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"684","fishbase",123.24,1.58,15,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"685","fishbase",65.6,1.64,3,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"686","fishbase",115.5,1.65,15,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"687","fishbase",124.74,1.98,10,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"688","fishbase",156.2,2.2,15,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"689","fishbase",83.88,2.33,5,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"690","fishbase",101.16,2.81,3,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"691","fishbase",195.36,2.96,10,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"692","fishbase",102.9,3,3,69,"routine","none specified",2203,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"693","fishbase",180,3,10,69,"routine","none specified",2203,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"694","fishbase",197.1,3,15,69,"routine","none specified",2203,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"695","fishbase",166.65,3.03,10,69,"standard","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"696","fishbase",186.05,3.05,15,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"697","fishbase",180,6,3,69,"routine","none specified",2203,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"698","fishbase",334.2,6,10,69,"routine","none specified",2203,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"699","fishbase",351.6,6,15,69,"routine","none specified",2203,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"700","fishbase",186.2,6.65,3,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"702","fishbase",355,7.1,10,69,"routine","none specified",2120,"Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"720","fishbase",0.4844,7e-04,25,80,"routine","none specified",2120,"Chanos chanos","Chanos",NA,"Chanidae","Gonorynchiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"721","fishbase",0.5761,7e-04,25,80,"routine","none specified",2120,"Chanos chanos","Chanos",NA,"Chanidae","Gonorynchiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"727","fishbase",1.0073,7e-04,29,80,"routine","none specified",2120,"Chanos chanos","Chanos",NA,"Chanidae","Gonorynchiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"728","fishbase",1.0976,7e-04,29,80,"routine","none specified",2120,"Chanos chanos","Chanos",NA,"Chanidae","Gonorynchiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"734","fishbase",1.6107,0.0021,25,80,"routine","none specified",2120,"Chanos chanos","Chanos",NA,"Chanidae","Gonorynchiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"735","fishbase",1.8459,0.0021,25,80,"routine","none specified",2120,"Chanos chanos","Chanos",NA,"Chanidae","Gonorynchiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"741","fishbase",2.4927,0.0021,29,80,"routine","none specified",2120,"Chanos chanos","Chanos",NA,"Chanidae","Gonorynchiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"742","fishbase",2.7258,0.0021,29,80,"routine","none specified",2120,"Chanos chanos","Chanos",NA,"Chanidae","Gonorynchiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"748","fishbase",5.3235,0.0063,25,80,"routine","none specified",2120,"Chanos chanos","Chanos",NA,"Chanidae","Gonorynchiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"749","fishbase",5.9787,0.0063,25,80,"routine","none specified",2120,"Chanos chanos","Chanos",NA,"Chanidae","Gonorynchiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"755","fishbase",6.2496,0.0063,29,80,"routine","none specified",2120,"Chanos chanos","Chanos",NA,"Chanidae","Gonorynchiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"756","fishbase",6.6276,0.0063,29,80,"routine","none specified",2120,"Chanos chanos","Chanos",NA,"Chanidae","Gonorynchiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
"762","fishbase",9.702,0.011,25,80,"routine","none specified",2120,"Chanos chanos","Chanos",NA,"Chanidae","Gonorynchiformes","Teleostei","Osteichthyes",1,1,"benthopelagic"
