"","Path","VarName","Estimate","StdErr","t.value","p.value"
"1",NA,"Intercept_habitatbenthopelagic",-1.26682233461666,1.13049646905014,1.12058937758652,0.262462688617302
"2",NA,"Intercept_habitatdemersal",-0.142828437316945,1.2006693408875,0.118957345251583,0.905309149309313
"3",NA,"Intercept_habitatpelagic",-2.18282119721738,1.58982757025707,1.37299241631872,0.169754704309091
"4",NA,"Intercept_c_m",3.16563858202163,0.125663980054091,25.1912965088247,0
"5",NA,"Intercept_tm",1.78800309545911,0.403719974194407,4.42881999838362,9.47500581705008e-06
"6",NA,"Intercept_Lm",-0.573623226314761,0.166900174827895,3.4369240589848,0.000588360541052824
"7",NA,"Intercept_tmax",2.91370224305034,0.385068244723448,7.56671650538968,3.81916720471054e-14
"8",NA,"Intercept_K",13.819937751501,0.741284034552759,18.6432421411031,0
"9",NA,"Intercept_Woo",-5.79183190324979,0.716974885410909,8.07815171926197,6.66133814775094e-16
"10",NA,"Intercept_M",15.0511353593676,0.861797199666625,17.4648227740702,0
"11",NA,"Intercept_TLDiet",3.53719449106367,0.195025697127199,18.1370688230724,0
"12",NA,"Intercept_Loo",4.47783277592117,0.379328774108229,11.8046219574252,0
"13",NA,"Intercept_fecundity",1.61153076733815,1.08527265013466,1.48490866985193,0.137568019080129
"14",NA,"Intercept_Min_caudalpeduncle_depth",-1.51116602465623,0.271792308541881,5.560002903553,2.69770161764882e-08
"15",NA,"Intercept_Lower_jaw_length",-1.09603731220512,0.230304910388735,4.75907053112807,1.94486471638555e-06
"16",NA,"Intercept_Max_body_depth",-0.280577374863247,0.132065699546091,2.12452874461416,0.0336259550691365
"17",NA,"Intercept_Max_body_width",-0.846747529711211,0.118913346486406,7.12071062442106,1.07380770941745e-12
"18",NA,"Intercept_Temperature",17.6887493353084,3.85952696583592,4.5831392012252,4.5804689399187e-06
"19","habitatbenthopelagic -> c_m","p0",-0.0167039311172186,0.00625755023219583,2.66940423926202,0.00759859372804272
"20","habitatdemersal -> c_m","p1",0.00713538879590174,0.00603515477684747,1.18230419264061,0.23708502259209
"21","habitatpelagic -> c_m","p2",-0.00514201894245431,0.0041112226560258,1.25072742896026,0.211033939663583
"22","Temperature-> K","p3",0.014707351623309,0.00331063577272548,4.44245535690601,8.89380904567361e-06
"23","Temperature-> M","p4",0.0302331526729292,0.0047457289836879,6.37060244629374,1.88287163638279e-10
"24","Temperature-> Loo","p5",-0.0163629293147373,0.00210556290078043,7.77128496549421,7.7715611723761e-15
"25","Loo -> K","p6",-0.578655724650083,0.0329958901353702,17.5372060664546,0
"26","Loo -> M","p7",-0.774368856283262,0.0478198117857023,16.193473528367,0
"27","Loo -> Max_body_width","p8",-0.00458495176982392,0.0070944084058952,0.646276829229902,0.518100090970429
"28","Loo -> Max_body_depth","p9",-0.013976125269124,0.00792305845843214,1.76398108665346,0.0777351635339025
"29","Loo -> Lower_jaw_length","p10",0.0539924010610841,0.0125978861237821,4.28583022029054,1.82057992741402e-05
"30","Loo -> Min_caudalpeduncle_depth","p11",-0.0475548803705904,0.0146577821933132,3.2443434991335,0.0011772168784081
"31","Loo -> Woo","p12",2.9719907918069,0.0304734368005553,97.5272599299581,0
"32","Max_body_depth-> c_m","p13",0.0444727568904037,0.052930266281816,0.840214115939223,0.400788345160576
"33","Max_body_width-> c_m","p14",0.0549846270566657,0.0540034097353096,1.01816954385224,0.308597390461098
"34","Lower_jaw_length-> c_m","p15",-0.0319199206835619,0.0265344469207636,1.20296159851683,0.228991181298802
"35","Min_caudalpeduncle_depth  -> c_m","p16",0.0314133350741829,0.0226631371068803,1.38609826724501,0.165716899412142
"36","Max_body_depth-> TLDiet","p17",0.0330986099044042,0.0276289165308939,1.1979698830171,0.230928741873577
"37","Max_body_width-> TLDiet","p18",0.0372196975146209,0.0304763186823743,1.22126618711815,0.221985251357851
"38","Lower_jaw_length-> TLDiet","p19",0.0791612514506842,0.0153165717976142,5.16834005002444,2.36182294610643e-07
"39","Min_caudalpeduncle_depth  -> TLDiet","p20",-0.00338726385934188,0.0130821627282252,0.258922315041515,0.795695180240826
"40","c_m -> K","p21",-3.60754589649267,0.190877595452941,18.8997869966467,0
"41","c_m -> M","p22",-3.73268121573551,0.225069676800392,16.5845584745116,0
"42","c_m -> Woo","p23",0.33422489167322,0.177984237217229,1.87783422228172,0.0604038470529906
"43","K -> Lm","p24",0.182857561190021,0.0677893538205191,2.69743773740873,0.00698753503855354
"44","K -> tm","p25",-0.101072649429607,0.0401398031559707,2.51801557264419,0.011801810299491
"45","M -> tmax","p26",-0.444241602020818,0.0218987853048008,20.2861298395135,0
"46","M -> tm","p27",0.693330366239529,0.0417279551396839,16.6154886794383,0
"47","M -> Lm","p28",-0.0310273020366392,0.0345208445439504,0.898799042912655,0.368759709994429
"48","Woo -> TLDiet","p29",0.031160511486473,0.00255609720126262,12.1906598352679,0
"49","Woo -> fecundity","p30",0.585993932259549,0.0287684541821756,20.3693228891881,0
"50","habitatbenthopelagic <-> habitatbenthopelagic","V[habitatbenthopelagic]",1.10750775101061,0.03598538173293,30.7766014330519,0
"51","habitatdemersal <-> habitatdemersal","V[habitatdemersal]",1.17694437510446,0.037676864986383,31.237853136927,0
"52","habitatpelagic <-> habitatpelagic","V[habitatpelagic]",1.55580203013015,0.0804352567494924,19.3422896003868,0
"53","c_m <-> c_m","V[c_m]",0.0970757723592942,0.00526359025282626,18.4428817017377,0
"54","tm <-> tm","V[tm]",0.388653360504706,0.0125566330760616,30.9520361191128,0
