"","Path","VarName","Estimate","StdErr","t.value","p.value"
"1",NA,"Intercept_habitatbenthopelagic",-1.26682233443819,1.1304964689449,1.12058937753297,0.262462688640105
"2",NA,"Intercept_habitatdemersal",-0.142828437027551,1.20066934109872,0.118957344989629,0.905309149516848
"3",NA,"Intercept_habitatpelagic",-2.18282119667492,1.58982756945194,1.37299241667283,0.169754704199005
"4",NA,"Intercept_c_m",10.0733938578826,0.125663980217914,80.1613464766463,0
"5",NA,"Intercept_tm",0.129999624050352,0.400607995598984,0.324505814857684,0.745555120632434
"6",NA,"Intercept_Lm",-0.573623226489046,0.166900174094096,3.43692407513993,0.000588360505960672
"7",NA,"Intercept_tmax",2.91370224304401,0.385068244736212,7.5667165051224,3.81916720471054e-14
"8",NA,"Intercept_K",38.7399819592036,1.96841594723675,19.6807905430692,0
"9",NA,"Intercept_Woo",-8.10057565009659,1.85448166823367,4.36810769761457,1.25327691882227e-05
"10",NA,"Intercept_M",40.8355836995611,2.31553065992163,17.6355184607848,0
"11",NA,"Intercept_TLDiet",3.53719449108444,0.195025697171081,18.1370688190979,0
"12",NA,"Intercept_Loo",4.47783277571837,0.379328774068871,11.8046219581153,0
"13",NA,"Intercept_fecundity",1.61153076664063,1.08527265012425,1.48490866922347,0.13756801924663
"14",NA,"Intercept_Min_caudalpeduncle_depth",-1.51116602487517,0.271792308577008,5.56000290363996,2.69770161764882e-08
"15",NA,"Intercept_Lower_jaw_length",-1.09603731218916,0.230304910452694,4.75907052973709,1.94486472970823e-06
"16",NA,"Intercept_Max_body_depth",-0.280577375205125,0.132065699670537,2.1245287452009,0.033625955020129
"17",NA,"Intercept_Max_body_width",-0.846747529468632,0.118913346248919,7.12071063660213,1.07380770941745e-12
"18",NA,"Intercept_Temperature",17.6887493352898,3.85952696581507,4.58313920124515,4.58046893947461e-06
"19","habitatbenthopelagic -> c_m","p0",-0.0167039317507587,0.00625755022089463,2.6694043453271,0.00759859132820306
"20","habitatdemersal -> c_m","p1",0.00713538811248133,0.00603515472885899,1.18230408880177,0.237085063779273
"21","habitatpelagic -> c_m","p2",-0.00514201956104702,0.00411122263092333,1.25072758706142,0.211033881962031
"22","Temperature-> K","p3",0.0147073516531629,0.00331063577212023,4.44245536673575,8.89380863910993e-06
"23","Temperature-> M","p4",0.0302331526897699,0.00474572898365075,6.3706024498922,1.88287163638279e-10
"24","Temperature-> Loo","p5",-0.0163629293028942,0.00210556290070821,7.77128496013611,7.7715611723761e-15
"25","Loo -> K","p6",-0.578655724448894,0.0329958901261604,17.5372060652522,0
"26","Loo -> M","p7",-0.774368855822711,0.0478198117924847,16.1934735164393,0
"27","Loo -> Max_body_width","p8",-0.00458495183277133,0.00709440843061869,0.646276835850495,0.518100086683559
"28","Loo -> Max_body_depth","p9",-0.0139761251650424,0.00792305846976784,1.76398107099314,0.0777351661705912
"29","Loo -> Lower_jaw_length","p10",0.0539924010523195,0.0125978861233888,4.28583021972862,1.82057993201035e-05
"30","Loo -> Min_caudalpeduncle_depth","p11",-0.0475548802995202,0.0146577821986798,3.24434349309701,0.00117721690335881
"31","Loo -> Woo","p12",2.97199079173586,0.0304734367845433,97.5272599788714,0
"32","Max_body_depth-> c_m","p13",0.0444727562028795,0.0529302663475363,0.840214101906736,0.400788353027003
"33","Max_body_width-> c_m","p14",0.0549846266046273,0.0540034097901872,1.01816953444703,0.308597394929976
"34","Lower_jaw_length-> c_m","p15",-0.0319199208188546,0.0265344469599704,1.20296160183812,0.22899118001349
"35","Min_caudalpeduncle_depth  -> c_m","p16",0.0314133350798286,0.0226631371430058,1.38609826528466,0.165716900010659
"36","Max_body_depth-> TLDiet","p17",0.0330986097508717,0.0276289165152193,1.19796987813979,0.230928743772405
"37","Max_body_width-> TLDiet","p18",0.0372196977043795,0.0304763187336189,1.22126619129107,0.221985249778397
"38","Lower_jaw_length-> TLDiet","p19",0.0791612514270027,0.0153165717928052,5.16834005010102,2.36182294388598e-07
"39","Min_caudalpeduncle_depth  -> TLDiet","p20",-0.00338726388755545,0.0130821627255778,0.258922317250555,0.79569517853637
"40","c_m -> K","p21",-3.60754589636959,0.19087759530927,18.8997870102274,0
"41","c_m -> M","p22",-3.73268121275732,0.225069676464551,16.5845584860261,0
"42","c_m -> Woo","p23",0.334224890408639,0.177984236631299,1.87783422135859,0.0604038471793134
"43","K -> Lm","p24",0.182857561950174,0.0677893536665061,2.69743775475059,0.00698753467460889
"44","K -> tm","p25",-0.113462172211739,0.0398303951052104,2.84863285719443,0.00439075166900049
"45","M -> tmax","p26",-0.444241602033249,0.0218987853149902,20.286129830642,0
"46","M -> tm","p27",0.387298124382258,0.0414063052027936,9.35360260920186,0
"47","M -> Lm","p28",-0.031027302140948,0.0345208445271665,0.898799046371266,0.368759708151869
"48","Woo -> TLDiet","p29",0.0311605114894052,0.00255609720044101,12.1906598403336,0
"49","Woo -> fecundity","p30",0.585993932345666,0.0287684541807492,20.3693228931916,0
"50","habitatbenthopelagic <-> habitatbenthopelagic","V[habitatbenthopelagic]",1.10750775090835,0.0359853817288799,30.7766014336739,0
"51","habitatdemersal <-> habitatdemersal","V[habitatdemersal]",1.17694437531225,0.0376768649982725,31.2378531325844,0
"52","habitatpelagic <-> habitatpelagic","V[habitatpelagic]",1.55580202934189,0.0804352567024059,19.3422896019098,0
"53","c_m <-> c_m","V[c_m]",0.0970757725444676,0.00526359027631672,18.4428816546104,0
"54","tm <-> tm","V[tm]",0.385657519287346,0.012459840379568,30.9520433279192,0
