"","Estimate","SD","p-value"
"Fixed effect","","",""
"Intercept","0.0695372085567805","0.107839032979941","0.644824110855253"
"Slope","0.674055461047928","0.0612364037548264","11.0074305432216"
"Random effect","","",""
"Intercept","","0.697321937608037",""
"Slope","","0.311980588979251",""
"Residuals","","0.58664302894792",""
