"","SpecCode","Genus","Subfamily","Brack","Saltwater","DemersPelag","Species","Family","Order","Class","SuperClass"
"43",14550,"Acanthaluteres",NA,0,1,"demersal","Acanthaluteres vittiger","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"44",56310,"Acanthanectes","Tripterygiinae",0,1,"demersal","Acanthanectes hystrix","Tripterygiidae","Blenniiformes","Teleostei","Osteichthyes"
"45",56311,"Acanthanectes","Tripterygiinae",0,1,"benthopelagic","Acanthanectes rufus","Tripterygiidae","Blenniiformes","Teleostei","Osteichthyes"
"46",12559,"Acanthaphritis",NA,0,1,"demersal","Acanthaphritis barbata","Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes"
"47",59262,"Acanthaphritis",NA,0,1,"demersal","Acanthaphritis grandisquamis","Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes"
"48",59416,"Acanthaphritis",NA,0,1,"demersal","Acanthaphritis ozawai","Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes"
"49",59263,"Acanthaphritis",NA,0,1,"demersal","Acanthaphritis unoorum","Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes"
"50",3708,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria aspera","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"51",60573,"Acanthemblemaria",NA,0,1,"demersal","Acanthemblemaria atrata","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"52",46703,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria balanorum","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"53",47263,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria betinensis","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"54",25510,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria castroi","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"55",3709,"Acanthemblemaria",NA,0,1,"demersal","Acanthemblemaria chaplini","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"56",46704,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria crockeri","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"57",46709,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria exilispinus","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"58",47265,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria greenfieldi","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"59",46714,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria hancocki","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"60",60576,"Acanthemblemaria",NA,0,1,"demersal","Acanthemblemaria harpeza","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"61",65600,"Acanthemblemaria",NA,0,1,"demersal","Acanthemblemaria hastingsi","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"62",55035,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria johnsoni","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"63",46717,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria macrospilus","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"64",60574,"Acanthemblemaria",NA,0,1,"demersal","Acanthemblemaria mangognatha","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"65",16485,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria maria","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"66",27905,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria medusa","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"67",54806,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria paula","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"68",47268,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria rivasi","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"69",16486,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria spinosa","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"70",46725,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria stephensi","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"71",351,"Acanthistius",NA,1,1,"benthopelagic","Acanthistius brasilianus","Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"72",12690,"Acanthistius",NA,0,1,"benthopelagic","Acanthistius cinctus","Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"73",59850,"Acanthistius",NA,0,1,"pelagic","Acanthistius fuscus","Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"74",65330,"Acanthistius",NA,0,1,"pelagic","Acanthistius joanae","Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"75",15036,"Acanthistius",NA,0,1,"benthopelagic","Acanthistius ocellatus","Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"76",15038,"Acanthistius",NA,0,1,"benthopelagic","Acanthistius pardalotus","Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"77",50141,"Acanthistius",NA,0,1,"demersal","Acanthistius patachonicus","Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"78",15040,"Acanthistius",NA,0,1,"benthopelagic","Acanthistius paxtoni","Anthiadidae","Perciformes","Teleostei","Osteichthyes"
