"","SpecCode","Brack","Saltwater","DemersPelag","Species","Genus","Subfamily","Family","Order","Class","SuperClass"
"42",14532,0,1,"benthopelagic","Acanthaluteres brownii","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"43",51356,1,1,"demersal","Acanthaluteres spilomelanurus","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"44",14550,0,1,"demersal","Acanthaluteres vittiger","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"45",56310,0,1,"demersal","Acanthanectes hystrix","Acanthanectes","Tripterygiinae","Tripterygiidae","Blenniiformes","Teleostei","Osteichthyes"
"46",56311,0,1,"benthopelagic","Acanthanectes rufus","Acanthanectes","Tripterygiinae","Tripterygiidae","Blenniiformes","Teleostei","Osteichthyes"
"47",12559,0,1,"demersal","Acanthaphritis barbata","Acanthaphritis",NA,"Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes"
"48",59262,0,1,"demersal","Acanthaphritis grandisquamis","Acanthaphritis",NA,"Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes"
"49",59416,0,1,"demersal","Acanthaphritis ozawai","Acanthaphritis",NA,"Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes"
"50",59263,0,1,"demersal","Acanthaphritis unoorum","Acanthaphritis",NA,"Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes"
"51",3708,0,1,"benthopelagic","Acanthemblemaria aspera","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"52",60573,0,1,"demersal","Acanthemblemaria atrata","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"53",46703,0,1,"benthopelagic","Acanthemblemaria balanorum","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"54",47263,0,1,"benthopelagic","Acanthemblemaria betinensis","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"55",25510,0,1,"benthopelagic","Acanthemblemaria castroi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"56",3709,0,1,"demersal","Acanthemblemaria chaplini","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"57",46704,0,1,"benthopelagic","Acanthemblemaria crockeri","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"58",46709,0,1,"benthopelagic","Acanthemblemaria exilispinus","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"59",47265,0,1,"benthopelagic","Acanthemblemaria greenfieldi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"60",46714,0,1,"benthopelagic","Acanthemblemaria hancocki","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"61",60576,0,1,"demersal","Acanthemblemaria harpeza","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"62",65600,0,1,"demersal","Acanthemblemaria hastingsi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"63",55035,0,1,"benthopelagic","Acanthemblemaria johnsoni","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"64",46717,0,1,"benthopelagic","Acanthemblemaria macrospilus","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"65",60574,0,1,"demersal","Acanthemblemaria mangognatha","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"66",16485,0,1,"benthopelagic","Acanthemblemaria maria","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"67",27905,0,1,"benthopelagic","Acanthemblemaria medusa","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"68",54806,0,1,"benthopelagic","Acanthemblemaria paula","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"69",47268,0,1,"benthopelagic","Acanthemblemaria rivasi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"70",16486,0,1,"benthopelagic","Acanthemblemaria spinosa","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"71",46725,0,1,"benthopelagic","Acanthemblemaria stephensi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes"
"72",351,1,1,"benthopelagic","Acanthistius brasilianus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"73",12690,0,1,"benthopelagic","Acanthistius cinctus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"74",59850,0,1,"pelagic","Acanthistius fuscus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"75",65330,0,1,"pelagic","Acanthistius joanae","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"76",15036,0,1,"benthopelagic","Acanthistius ocellatus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"77",15038,0,1,"benthopelagic","Acanthistius pardalotus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"78",50141,0,1,"demersal","Acanthistius patachonicus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"79",15040,0,1,"benthopelagic","Acanthistius paxtoni","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"80",57960,0,1,"benthopelagic","Acanthistius pictus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"81",7920,0,1,"demersal","Acanthistius sebastoides","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"82",15042,0,1,"benthopelagic","Acanthistius serratus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes"
"83",10354,0,1,"benthopelagic","Acanthocepola abbreviata","Acanthocepola","Cepolinae","Cepolidae","Eupercaria/misc","Teleostei","Osteichthyes"
"84",9216,0,1,"benthopelagic","Acanthocepola indica","Acanthocepola","Cepolinae","Cepolidae","Eupercaria/misc","Teleostei","Osteichthyes"
"85",9215,1,1,"demersal","Acanthocepola krusensternii","Acanthocepola","Cepolinae","Cepolidae","Eupercaria/misc","Teleostei","Osteichthyes"
"86",9214,0,1,"demersal","Acanthocepola limbata","Acanthocepola","Cepolinae","Cepolidae","Eupercaria/misc","Teleostei","Osteichthyes"
"87",9046,0,1,"benthopelagic","Acanthochaenus luetkenii","Acanthochaenus",NA,"Stephanoberycidae","Beryciformes","Teleostei","Osteichthyes"
"88",6655,0,1,"benthopelagic","Acanthochromis polyacanthus","Acanthochromis","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes"
"89",12865,1,1,"demersal","Acanthoclinus fuscus","Acanthoclinus","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes"
"90",49224,0,1,"demersal","Acanthoclinus littoreus","Acanthoclinus","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes"
"91",46323,0,1,"demersal","Acanthoclinus marilynae","Acanthoclinus","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes"
"92",47430,0,1,"benthopelagic","Acanthoclinus matti","Acanthoclinus","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes"
"93",46322,0,1,"demersal","Acanthoclinus rua","Acanthoclinus","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes"
"94",89,0,1,"pelagic","Acanthocybium solandri","Acanthocybium","Scombrinae","Scombridae","Scombriformes","Teleostei","Osteichthyes"
"95",54894,0,1,"demersal","Acanthodraco dewitti","Acanthodraco","Gymnodraconinae","Bathydraconidae","Perciformes","Teleostei","Osteichthyes"
"96",67583,0,1,"pelagic","Acanthogobius elongatus","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes"
"97",3832,1,1,"demersal","Acanthogobius flavimanus","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes"
"98",13045,1,1,"demersal","Acanthogobius hasta","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes"
"99",67376,0,1,"pelagic","Acanthogobius insularis","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes"
"100",23696,1,1,"demersal","Acanthogobius lactipes","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes"
"101",55485,1,1,"demersal","Acanthogobius luridus","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes"
"102",69021,0,1,"demersal","Acanthogobius stigmothonus","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes"
"103",7633,0,1,"benthopelagic","Acantholabrus palloni","Acantholabrus",NA,"Labridae","Labriformes","Teleostei","Osteichthyes"
"104",51500,0,1,"pelagic","Acantholiparis caecus","Acantholiparis",NA,"Liparidae","Scorpaeniformes","Teleostei","Osteichthyes"
"105",25262,0,1,"demersal","Acantholiparis opercularis","Acantholiparis",NA,"Liparidae","Scorpaeniformes","Teleostei","Osteichthyes"
"106",3771,1,1,"demersal","Acantholumpenus mackayi","Acantholumpenus",NA,"Lumpenidae","Perciformes","Teleostei","Osteichthyes"
