"","X","SpecCode","Genus","Subfamily","Brack","Saltwater","DemersPelag","Species","Family","Order","Class","SuperClass","c_m","eps_m"
"39",39,46918,"Aboma","Gobiinae",0,1,"demersal","Aboma etheostoma","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"40",40,17075,"Abyssobrotula","Neobythitinae",0,1,"pelagic","Abyssobrotula galatheae","Ophidiidae","Ophidiiformes","Teleostei","Osteichthyes",NA,NA
"41",41,14532,"Acanthaluteres",NA,0,1,"benthopelagic","Acanthaluteres brownii","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"42",42,51356,"Acanthaluteres",NA,1,1,"demersal","Acanthaluteres spilomelanurus","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"43",43,14550,"Acanthaluteres",NA,0,1,"demersal","Acanthaluteres vittiger","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"44",44,56310,"Acanthanectes","Tripterygiinae",0,1,"demersal","Acanthanectes hystrix","Tripterygiidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"45",45,56311,"Acanthanectes","Tripterygiinae",0,1,"benthopelagic","Acanthanectes rufus","Tripterygiidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"46",46,12559,"Acanthaphritis",NA,0,1,"demersal","Acanthaphritis barbata","Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"47",47,59262,"Acanthaphritis",NA,0,1,"demersal","Acanthaphritis grandisquamis","Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"48",48,59416,"Acanthaphritis",NA,0,1,"demersal","Acanthaphritis ozawai","Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"49",49,59263,"Acanthaphritis",NA,0,1,"demersal","Acanthaphritis unoorum","Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA
"50",50,3708,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria aspera","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"51",51,60573,"Acanthemblemaria",NA,0,1,"demersal","Acanthemblemaria atrata","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"52",52,46703,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria balanorum","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"53",53,47263,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria betinensis","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"54",54,25510,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria castroi","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"55",55,3709,"Acanthemblemaria",NA,0,1,"demersal","Acanthemblemaria chaplini","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"56",56,46704,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria crockeri","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"57",57,46709,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria exilispinus","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"58",58,47265,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria greenfieldi","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"59",59,46714,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria hancocki","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"60",60,60576,"Acanthemblemaria",NA,0,1,"demersal","Acanthemblemaria harpeza","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"61",61,65600,"Acanthemblemaria",NA,0,1,"demersal","Acanthemblemaria hastingsi","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"62",62,55035,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria johnsoni","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"63",63,46717,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria macrospilus","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"64",64,60574,"Acanthemblemaria",NA,0,1,"demersal","Acanthemblemaria mangognatha","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"65",65,16485,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria maria","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"66",66,27905,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria medusa","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"67",67,54806,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria paula","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"68",68,47268,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria rivasi","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"69",69,16486,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria spinosa","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"70",70,46725,"Acanthemblemaria",NA,0,1,"benthopelagic","Acanthemblemaria stephensi","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA
"71",71,351,"Acanthistius",NA,1,1,"benthopelagic","Acanthistius brasilianus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"72",72,12690,"Acanthistius",NA,0,1,"benthopelagic","Acanthistius cinctus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"73",73,59850,"Acanthistius",NA,0,1,"pelagic","Acanthistius fuscus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"74",74,65330,"Acanthistius",NA,0,1,"pelagic","Acanthistius joanae","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"75",75,15036,"Acanthistius",NA,0,1,"benthopelagic","Acanthistius ocellatus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"76",76,15038,"Acanthistius",NA,0,1,"benthopelagic","Acanthistius pardalotus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"77",77,50141,"Acanthistius",NA,0,1,"demersal","Acanthistius patachonicus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"78",78,15040,"Acanthistius",NA,0,1,"benthopelagic","Acanthistius paxtoni","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"79",79,57960,"Acanthistius",NA,0,1,"benthopelagic","Acanthistius pictus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"80",80,7920,"Acanthistius",NA,0,1,"demersal","Acanthistius sebastoides","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"81",81,15042,"Acanthistius",NA,0,1,"benthopelagic","Acanthistius serratus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"82",82,10354,"Acanthocepola","Cepolinae",0,1,"benthopelagic","Acanthocepola abbreviata","Cepolidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"83",83,9216,"Acanthocepola","Cepolinae",0,1,"benthopelagic","Acanthocepola indica","Cepolidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"84",84,9215,"Acanthocepola","Cepolinae",1,1,"demersal","Acanthocepola krusensternii","Cepolidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"85",85,9214,"Acanthocepola","Cepolinae",0,1,"demersal","Acanthocepola limbata","Cepolidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"86",86,9046,"Acanthochaenus",NA,0,1,"benthopelagic","Acanthochaenus luetkenii","Stephanoberycidae","Beryciformes","Teleostei","Osteichthyes",NA,NA
"87",87,6655,"Acanthochromis","Pomacentrinae",0,1,"benthopelagic","Acanthochromis polyacanthus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"88",88,12865,"Acanthoclinus","Acanthoclininae",1,1,"demersal","Acanthoclinus fuscus","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"89",89,49224,"Acanthoclinus","Acanthoclininae",0,1,"demersal","Acanthoclinus littoreus","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"90",90,46323,"Acanthoclinus","Acanthoclininae",0,1,"demersal","Acanthoclinus marilynae","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"91",91,47430,"Acanthoclinus","Acanthoclininae",0,1,"benthopelagic","Acanthoclinus matti","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"92",92,46322,"Acanthoclinus","Acanthoclininae",0,1,"demersal","Acanthoclinus rua","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"93",93,89,"Acanthocybium","Scombrinae",0,1,"pelagic","Acanthocybium solandri","Scombridae","Scombriformes","Teleostei","Osteichthyes",NA,NA
"94",94,54894,"Acanthodraco","Gymnodraconinae",0,1,"demersal","Acanthodraco dewitti","Bathydraconidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"95",95,67583,"Acanthogobius","Gobionellinae",0,1,"pelagic","Acanthogobius elongatus","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"96",96,67376,"Acanthogobius","Gobionellinae",0,1,"pelagic","Acanthogobius insularis","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"97",97,69021,"Acanthogobius","Gobionellinae",0,1,"demersal","Acanthogobius stigmothonus","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"98",98,7633,"Acantholabrus",NA,0,1,"benthopelagic","Acantholabrus palloni","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"99",99,51500,"Acantholiparis",NA,0,1,"pelagic","Acantholiparis caecus","Liparidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"100",100,25262,"Acantholiparis",NA,0,1,"demersal","Acantholiparis opercularis","Liparidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"101",101,3771,"Acantholumpenus",NA,1,1,"demersal","Acantholumpenus mackayi","Lumpenidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"102",102,8943,"Acanthonus","Neobythitinae",0,1,"pelagic","Acanthonus armatus","Ophidiidae","Ophidiiformes","Teleostei","Osteichthyes",NA,NA
"103",103,63150,"Acanthopagrus",NA,0,1,"demersal","Acanthopagrus akazakii","Sparidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"104",104,67314,"Acanthopagrus",NA,0,1,"pelagic","Acanthopagrus arabicus","Sparidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"105",105,8109,"Acanthopagrus",NA,1,1,"demersal","Acanthopagrus australis","Sparidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"106",106,4543,"Acanthopagrus",NA,1,1,"benthopelagic","Acanthopagrus bifasciatus","Sparidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"107",107,67289,"Acanthopagrus",NA,1,1,"benthopelagic","Acanthopagrus catenula","Sparidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"108",108,63767,"Acanthopagrus",NA,0,1,"pelagic","Acanthopagrus chinshira","Sparidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"109",109,67330,"Acanthopagrus",NA,0,1,"pelagic","Acanthopagrus morrisonae","Sparidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"110",110,65370,"Acanthopagrus",NA,0,1,"demersal","Acanthopagrus omanensis","Sparidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"111",111,65896,"Acanthopagrus",NA,1,1,"pelagic","Acanthopagrus pacificus","Sparidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"112",112,8110,"Acanthopagrus",NA,1,1,"benthopelagic","Acanthopagrus palmaris","Sparidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"113",113,65100,"Acanthopagrus",NA,0,1,"benthopelagic","Acanthopagrus randalli","Sparidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"114",114,6531,"Acanthopagrus",NA,1,1,"demersal","Acanthopagrus schlegelii","Sparidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"115",115,67333,"Acanthopagrus",NA,0,1,"demersal","Acanthopagrus sheim","Sparidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"116",116,6583,"Acanthopagrus",NA,1,1,"demersal","Acanthopagrus sivicolus","Sparidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"117",117,63153,"Acanthopagrus",NA,0,1,"demersal","Acanthopagrus taiwanensis","Sparidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"118",118,67665,"Acanthoplesiops","Acanthoclininae",0,1,"benthopelagic","Acanthoplesiops cappuccino","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"119",119,58053,"Acanthoplesiops","Acanthoclininae",0,1,"pelagic","Acanthoplesiops echinatus","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"120",120,17444,"Acanthoplesiops","Acanthoclininae",0,1,"benthopelagic","Acanthoplesiops hiatti","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"121",121,8004,"Acanthoplesiops","Acanthoclininae",0,1,"demersal","Acanthoplesiops indicus","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"122",122,69338,"Acanthoplesiops","Acanthoclininae",0,1,"demersal","Acanthoplesiops jessicae","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"123",123,65019,"Acanthoplesiops","Acanthoclininae",0,1,"pelagic","Acanthoplesiops naka","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"124",124,59172,"Acanthoplesiops","Acanthoclininae",0,1,"demersal","Acanthoplesiops psilogaster","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"125",125,8836,"Acanthopsetta","Pleuronectinae",0,1,"demersal","Acanthopsetta nadeshnyi","Pleuronectidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA
"126",126,25311,"Acanthosphex",NA,0,1,"demersal","Acanthosphex leurynnis","Aploactinidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"127",127,23363,"Acanthostracion",NA,0,1,"demersal","Acanthostracion guineense","Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"128",128,23370,"Acanthostracion",NA,0,1,"demersal","Acanthostracion notacanthus","Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"129",129,4287,"Acanthostracion",NA,0,1,"benthopelagic","Acanthostracion polygonium","Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"130",130,92,"Acanthostracion",NA,0,1,"benthopelagic","Acanthostracion quadricornis","Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"131",131,4306,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus achilles","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"132",132,68166,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus albimento","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"133",133,13770,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus albipectoralis","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"134",134,4748,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus auranticavus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"135",135,68792,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus bahianus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"136",136,4307,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus bariene","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"137",137,4750,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus blochii","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"138",138,943,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus chirurgus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"139",139,6010,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus chronixis","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"140",140,944,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus coeruleus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"141",141,1256,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus dussumieri","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"142",142,60866,"Aioliops","Ptereleotrinae",0,1,"benthopelagic","Aioliops tetrophthalmus","Microdesmidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"143",143,7093,"Akarotaxis","Bathydraconinae",0,1,"demersal","Akarotaxis nudiceps","Bathydraconidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"144",144,69495,"Akheilos","Schroederichthyinae",0,1,"pelagic","Akheilos suwartanai","Scyliorhinidae","Carcharhiniformes","Elasmobranchii","Chondrichthyes",NA,NA
"145",145,54387,"Akko","Gobiinae",0,1,"demersal","Akko brevis","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"146",146,59851,"Altrichthys","Pomacentrinae",0,1,"benthopelagic","Altrichthys curatus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"147",147,4273,"Aluterus",NA,0,1,"demersal","Aluterus heudelotii","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"148",148,4274,"Aluterus",NA,0,1,"benthopelagic","Aluterus monoceros","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"149",149,1081,"Aluterus",NA,0,1,"benthopelagic","Aluterus schoepfii","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"150",150,4275,"Aluterus",NA,0,1,"benthopelagic","Aluterus scriptus","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"151",151,8105,"Amamiichthys",NA,0,1,"benthopelagic","Amamiichthys matsubarai","Sparidae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"152",152,6672,"Amanses",NA,0,1,"benthopelagic","Amanses scopas","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"153",153,4459,"Amarsipus",NA,0,1,"pelagic","Amarsipus carlsbergi","Amarsipidae","Scombriformes","Teleostei","Osteichthyes",NA,NA
"154",154,58216,"Ambophthalmos",NA,0,1,"demersal","Ambophthalmos eurystigmatephoros","Psychrolutidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"155",155,58288,"Ambophthalmos",NA,0,1,"demersal","Ambophthalmos magnicirrus","Psychrolutidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"156",156,4745,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus fowleri","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"157",157,17471,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus gahhm","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
