"","X","SpecCode","Genus","Subfamily","Brack","Saltwater","DemersPelag","Species","Family","Order","Class","SuperClass","c_m","eps_m"
"3415",3415,60808,"Clepticus",NA,0,1,"demersal","Clepticus africanus","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3416",3416,60809,"Clepticus",NA,0,1,"demersal","Clepticus brasiliensis","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3417",3417,3656,"Clepticus",NA,0,1,"benthopelagic","Clepticus parrae","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3418",3418,11733,"Chirostomias","Melanostomiinae",0,1,"pelagic","Chirostomias pliopterus","Stomiidae","Stomiiformes","Teleostei","Osteichthyes",NA,NA
"3419",3419,4055,"Chitonotus",NA,0,1,"demersal","Chitonotus pugetensis","Cottidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3420",3420,65037,"Chlamydoselachus",NA,0,1,"benthopelagic","Chlamydoselachus africana","Chlamydoselachidae","Hexanchiformes","Elasmobranchii","Chondrichthyes",NA,NA
"3421",3421,635,"Chlamydoselachus",NA,0,1,"demersal","Chlamydoselachus anguineus","Chlamydoselachidae","Hexanchiformes","Elasmobranchii","Chondrichthyes",NA,NA
"3422",3422,63114,"Chlidichthys","Pseudoplesiopinae",0,1,"benthopelagic","Chlidichthys abruptus","Pseudochromidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"3423",3423,56486,"Chlidichthys","Pseudoplesiopinae",0,1,"benthopelagic","Chlidichthys auratus","Pseudochromidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"3424",3424,23588,"Chlidichthys","Pseudoplesiopinae",0,1,"benthopelagic","Chlidichthys bibulus","Pseudochromidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"3425",3425,26820,"Chlidichthys","Pseudoplesiopinae",0,1,"benthopelagic","Chlidichthys cacatuoides","Pseudochromidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"3426",3426,63115,"Chlidichthys","Pseudoplesiopinae",0,1,"benthopelagic","Chlidichthys chagosensis","Pseudochromidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"3427",3427,63117,"Chlidichthys","Pseudoplesiopinae",0,1,"benthopelagic","Chlidichthys clibanarius","Pseudochromidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"3428",3428,63118,"Chlidichthys","Pseudoplesiopinae",0,1,"benthopelagic","Chlidichthys foudioides","Pseudochromidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"3429",3429,25683,"Chlidichthys","Pseudoplesiopinae",0,1,"benthopelagic","Chlidichthys inornatus","Pseudochromidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"3430",3430,23591,"Chlidichthys","Pseudoplesiopinae",0,1,"benthopelagic","Chlidichthys johnvoelckeri","Pseudochromidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"3431",3431,23586,"Chlidichthys","Pseudoplesiopinae",0,1,"benthopelagic","Chlidichthys pembae","Pseudochromidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"3432",3432,57848,"Chlidichthys","Pseudoplesiopinae",0,1,"benthopelagic","Chlidichthys randalli","Pseudochromidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"3433",3433,56487,"Chlidichthys","Pseudoplesiopinae",0,1,"demersal","Chlidichthys rubiceps","Pseudochromidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"3434",3434,57847,"Chlidichthys","Pseudoplesiopinae",0,1,"benthopelagic","Chlidichthys smithae","Pseudochromidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"3435",3435,60608,"Chlopsis",NA,0,1,"demersal","Chlopsis apterus","Chlopsidae","Anguilliformes","Teleostei","Osteichthyes",NA,NA
"3436",3436,46076,"Chlopsis",NA,0,1,"demersal","Chlopsis bicollaris","Chlopsidae","Anguilliformes","Teleostei","Osteichthyes",NA,NA
"3437",3437,11949,"Chlopsis",NA,0,1,"demersal","Chlopsis bicolor","Chlopsidae","Anguilliformes","Teleostei","Osteichthyes",NA,NA
"3438",3438,60666,"Chlopsis",NA,0,1,"demersal","Chlopsis bidentatus","Chlopsidae","Anguilliformes","Teleostei","Osteichthyes",NA,NA
"3439",3439,9041,"Chlopsis",NA,0,1,"demersal","Chlopsis dentatus","Chlopsidae","Anguilliformes","Teleostei","Osteichthyes",NA,NA
"3440",3440,60609,"Chlopsis",NA,0,1,"demersal","Chlopsis kazuko","Chlopsidae","Anguilliformes","Teleostei","Osteichthyes",NA,NA
"3441",3441,60624,"Chlopsis",NA,0,1,"pelagic","Chlopsis longidens","Chlopsidae","Anguilliformes","Teleostei","Osteichthyes",NA,NA
"3442",3442,68258,"Chlopsis",NA,0,1,"benthopelagic","Chlopsis nanhaiensis","Chlopsidae","Anguilliformes","Teleostei","Osteichthyes",NA,NA
"3443",3443,9184,"Chlopsis",NA,0,1,"demersal","Chlopsis olokun","Chlopsidae","Anguilliformes","Teleostei","Osteichthyes",NA,NA
"3444",3444,68257,"Chlopsis",NA,0,1,"benthopelagic","Chlopsis orientalis","Chlopsidae","Anguilliformes","Teleostei","Osteichthyes",NA,NA
"3445",3445,68259,"Chlopsis",NA,0,1,"benthopelagic","Chlopsis sagmacollaris","Chlopsidae","Anguilliformes","Teleostei","Osteichthyes",NA,NA
"3446",3446,60665,"Chlopsis",NA,0,1,"demersal","Chlopsis slusserorum","Chlopsidae","Anguilliformes","Teleostei","Osteichthyes",NA,NA
"3447",3447,12984,"Chlorophthalmus",NA,0,1,"demersal","Chlorophthalmus acutifrons","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3448",3448,1808,"Chlorophthalmus",NA,1,1,"demersal","Chlorophthalmus agassizi","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3449",3449,10415,"Chlorophthalmus",NA,0,1,"demersal","Chlorophthalmus albatrossis","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3450",3450,60741,"Chlorophthalmus",NA,0,1,"demersal","Chlorophthalmus atlanticus","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3451",3451,58727,"Chlorophthalmus",NA,0,1,"demersal","Chlorophthalmus borealis","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3452",3452,60607,"Chlorophthalmus",NA,0,1,"demersal","Chlorophthalmus brasiliensis","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3453",3453,60805,"Chlorophthalmus",NA,0,1,"demersal","Chlorophthalmus chalybeius","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3454",3454,58728,"Chlorophthalmus",NA,0,1,"demersal","Chlorophthalmus corniger","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3455",3455,55089,"Chlorophthalmus",NA,0,1,"demersal","Chlorophthalmus ichthyandri","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3456",3456,50086,"Chlorophthalmus",NA,0,1,"demersal","Chlorophthalmus mento","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3457",3457,10704,"Chlorophthalmus",NA,0,1,"demersal","Chlorophthalmus nigromarginatus","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3458",3458,58731,"Chlorophthalmus",NA,0,1,"demersal","Chlorophthalmus pectoralis","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3459",3459,54351,"Chlorophthalmus",NA,0,1,"demersal","Chlorophthalmus proridens","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3460",3460,7657,"Chlorophthalmus",NA,0,1,"demersal","Chlorophthalmus punctatus","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3461",3461,69861,"Chlorophthalmus",NA,0,1,"demersal","Chlorophthalmus vityazi","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3462",3462,69860,"Chlorophthalmus",NA,0,1,"demersal","Chlorophthalmus vulcanus","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3463",3463,55088,"Chlorophthalmus",NA,0,1,"demersal","Chlorophthalmus zvezdae","Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes",NA,NA
"3464",3464,385,"Chloroscombrus","Caranginae",1,1,"pelagic","Chloroscombrus chrysurus","Carangidae","Carangiformes","Teleostei","Osteichthyes",NA,NA
"3465",3465,1937,"Chloroscombrus","Caranginae",1,1,"benthopelagic","Chloroscombrus orqueta","Carangidae","Carangiformes","Teleostei","Osteichthyes",NA,NA
"3466",3466,7907,"Chlorurus","Scarinae",0,1,"benthopelagic","Chlorurus atrilunula","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3467",3467,4976,"Chlorurus","Scarinae",0,1,"benthopelagic","Chlorurus bleekeri","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3468",3468,5542,"Chlorurus","Scarinae",0,1,"benthopelagic","Chlorurus bowersi","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3469",3469,25677,"Chlorurus","Scarinae",0,1,"benthopelagic","Chlorurus capistratoides","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3470",3470,7909,"Chlorurus","Scarinae",0,1,"benthopelagic","Chlorurus cyanescens","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3471",3471,7910,"Chlorurus","Scarinae",0,1,"benthopelagic","Chlorurus enneacanthus","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3472",3472,5547,"Chlorurus","Scarinae",0,1,"benthopelagic","Chlorurus frontalis","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3473",3473,14382,"Chlorurus","Scarinae",0,1,"benthopelagic","Chlorurus genazonatus","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3474",3474,4979,"Chlorurus","Scarinae",0,1,"benthopelagic","Chlorurus gibbus","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3475",3475,4978,"Chlorurus","Scarinae",0,1,"benthopelagic","Chlorurus japanensis","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3476",3476,60479,"Chlorurus","Scarinae",0,1,"benthopelagic","Chlorurus microrhinos","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3477",3477,8394,"Chlorurus","Scarinae",1,1,"benthopelagic","Chlorurus oedema","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3478",3478,7829,"Chlorurus","Scarinae",0,1,"benthopelagic","Chlorurus perspicillatus","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3479",3479,47069,"Chlorurus","Scarinae",0,1,"benthopelagic","Chlorurus rhakoura","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3480",3480,5556,"Chlorurus","Scarinae",1,1,"benthopelagic","Chlorurus sordidus","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3481",3481,66478,"Chlorurus","Scarinae",0,1,"benthopelagic","Chlorurus spilurus","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3482",3482,12833,"Chlorurus","Scarinae",0,1,"benthopelagic","Chlorurus strongylocephalus","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3483",3483,4977,"Chlorurus","Scarinae",0,1,"benthopelagic","Chlorurus troschelii","Scaridae","Eupecaria","Teleostei","Osteichthyes",NA,NA
"3484",3484,5502,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon anchorago","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3485",3485,68616,"Choerodon","Bodianinae",0,1,"demersal","Choerodon aurulentus","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3486",3486,49409,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon azurio","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3487",3487,59634,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon cauteroma","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3488",3488,10848,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon cephalotes","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3489",3489,12934,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon cyanodus","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3490",3490,68622,"Choerodon","Bodianinae",0,1,"demersal","Choerodon cypselurus","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3491",3491,12722,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon fasciatus","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3492",3492,59644,"Choerodon","Bodianinae",0,1,"demersal","Choerodon frenatus","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3493",3493,60807,"Choerodon","Bodianinae",0,1,"demersal","Choerodon gomoni","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3494",3494,8128,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon graphicus","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3495",3495,23519,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon gymnogenys","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3496",3496,68618,"Choerodon","Bodianinae",0,1,"demersal","Choerodon japonicus","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3497",3497,6597,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon jordani","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3498",3498,58165,"Choerodon","Bodianinae",0,1,"demersal","Choerodon margaritiferus","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3499",3499,51741,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon melanostigma","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3500",3500,6615,"Choerodon","Bodianinae",0,1,"demersal","Choerodon monostigma","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3501",3501,8406,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon oligacanthus","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3502",3502,59635,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon paynei","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3503",3503,6926,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon robustus","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3504",3504,25756,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon rubescens","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3505",3505,6433,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon schoenleinii","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3506",3506,68620,"Choerodon","Bodianinae",0,1,"demersal","Choerodon skaiopygmaeus","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3507",3507,59636,"Choerodon","Bodianinae",0,1,"demersal","Choerodon sugillatum","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3508",3508,12935,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon venustus","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3509",3509,10853,"Choerodon","Bodianinae",0,1,"demersal","Choerodon vitta","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3510",3510,10548,"Choerodon","Bodianinae",0,1,"benthopelagic","Choerodon zamboangae","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3511",3511,51738,"Choerodon","Bodianinae",0,1,"demersal","Choerodon zosterophorus","Labridae","Eupercaria","Teleostei","Osteichthyes",NA,NA
"3512",3512,5958,"Choeroichthys","Nerophinae",0,1,"benthopelagic","Choeroichthys brachysoma","Syngnathidae","Syngnathiformes","Teleostei","Osteichthyes",NA,NA
"3513",3513,12764,"Choeroichthys","Nerophinae",0,1,"demersal","Choeroichthys cinctus","Syngnathidae","Syngnathiformes","Teleostei","Osteichthyes",NA,NA
"3514",3514,69350,"Choeroichthys","Nerophinae",0,1,"demersal","Choeroichthys hadiatyae","Syngnathidae","Syngnathiformes","Teleostei","Osteichthyes",NA,NA
"3515",3515,46114,"Choeroichthys","Nerophinae",0,1,"benthopelagic","Choeroichthys latispinosus","Syngnathidae","Syngnathiformes","Teleostei","Osteichthyes",NA,NA
"3516",3516,5410,"Choeroichthys","Nerophinae",0,1,"benthopelagic","Choeroichthys sculptus","Syngnathidae","Syngnathiformes","Teleostei","Osteichthyes",NA,NA
"3517",3517,16863,"Choeroichthys","Nerophinae",0,1,"demersal","Choeroichthys smithi","Syngnathidae","Syngnathiformes","Teleostei","Osteichthyes",NA,NA
"3518",3518,46124,"Choeroichthys","Nerophinae",0,1,"benthopelagic","Choeroichthys suillus","Syngnathidae","Syngnathiformes","Teleostei","Osteichthyes",NA,NA
"3519",3519,25785,"Choranthias",NA,0,1,"demersal","Choranthias salmopunctatus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3520",3520,3314,"Choranthias",NA,0,1,"benthopelagic","Choranthias tenuis","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3521",3521,26988,"Choridactylus","Choridactylinae",0,1,"demersal","Choridactylus lineatus","Synanceiidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3522",3522,6387,"Choridactylus","Choridactylinae",0,1,"demersal","Choridactylus multibarbus","Synanceiidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3523",3523,16867,"Choridactylus","Choridactylinae",0,1,"demersal","Choridactylus natalensis","Synanceiidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3524",3524,58166,"Choridactylus","Choridactylinae",0,1,"demersal","Choridactylus striatus","Synanceiidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"3525",3525,23222,"Chorisochismus","Chorisochisminae",0,1,"demersal","Chorisochismus dentex","Gobiesocidae","Gobiesociformes","Teleostei","Osteichthyes",NA,NA
"3526",3526,58043,"Chriolepis","Gobiinae",0,1,"demersal","Chriolepis atrimelum","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"3527",3527,57912,"Chriolepis","Gobiinae",0,1,"demersal","Chriolepis benthonis","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"3528",3528,67991,"Chriolepis","Gobiinae",0,1,"benthopelagic","Chriolepis bilix","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"3529",3529,63552,"Chromis","Chrominae",0,1,"benthopelagic","Chromis abyssus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3530",3530,65211,"Chromis","Chrominae",0,1,"benthopelagic","Chromis albicauda","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3531",3531,11851,"Chromis","Chrominae",0,1,"benthopelagic","Chromis albomaculata","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3532",3532,5670,"Chromis","Chrominae",0,1,"benthopelagic","Chromis alpha","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3533",3533,11853,"Chromis","Chrominae",0,1,"benthopelagic","Chromis alta","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3534",3534,6551,"Chromis","Chrominae",0,1,"benthopelagic","Chromis analis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3535",3535,64762,"Chromis","Chrominae",0,1,"benthopelagic","Chromis athena","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3536",3536,5450,"Chromis","Chrominae",0,1,"benthopelagic","Chromis atripectoralis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3537",3537,11854,"Chromis","Chrominae",0,1,"demersal","Chromis axillaris","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"3538",3538,69007,"Chromis","Chrominae",0,1,"benthopelagic","Chromis bowesi","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3539",3539,11857,"Chromis","Chrominae",0,1,"benthopelagic","Chromis cadenati","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3540",3540,1706,"Chromis","Chrominae",0,1,"benthopelagic","Chromis chromis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3541",3541,6656,"Chromis","Chrominae",0,1,"benthopelagic","Chromis chrysura","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3542",3542,11858,"Chromis","Chrominae",0,1,"benthopelagic","Chromis cinerascens","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3543",3543,63554,"Chromis","Chrominae",0,1,"benthopelagic","Chromis circumaurea","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3544",3544,11859,"Chromis","Chrominae",0,1,"benthopelagic","Chromis crusma","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3545",3545,11860,"Chromis","Chrominae",0,1,"benthopelagic","Chromis dasygenys","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3546",3546,63555,"Chromis","Chrominae",0,1,"benthopelagic","Chromis degruyi","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3547",3547,56865,"Chromis","Chrominae",0,1,"pelagic","Chromis dispila","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA
"3548",3548,65986,"Chromis","Chrominae",0,1,"benthopelagic","Chromis durvillei","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3549",3549,63556,"Chromis","Chrominae",0,1,"benthopelagic","Chromis earina","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3550",3550,3643,"Chromis","Chrominae",0,1,"benthopelagic","Chromis enchrysurus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3551",3551,58948,"Chromis","Chrominae",0,1,"benthopelagic","Chromis flavapicis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3552",3552,26638,"Chromis","Chrominae",0,1,"benthopelagic","Chromis flavaxilla","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3553",3553,11862,"Chromis","Chrominae",0,1,"benthopelagic","Chromis flavicauda","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3554",3554,12418,"Chromis","Chrominae",0,1,"benthopelagic","Chromis flavomaculata","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3555",3555,10842,"Chromis","Chrominae",0,1,"benthopelagic","Chromis fumea","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3556",3556,69005,"Chromis","Chrominae",0,1,"benthopelagic","Chromis gunting","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3557",3557,69006,"Chromis","Chrominae",0,1,"benthopelagic","Chromis hangganan","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3558",3558,9218,"Chromis","Chrominae",0,1,"benthopelagic","Chromis hypsilepis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3559",3559,3644,"Chromis","Chrominae",0,1,"benthopelagic","Chromis insolata","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3560",3560,50101,"Chromis","Chrominae",0,1,"benthopelagic","Chromis jubauna","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3561",3561,67999,"Chromis","Chrominae",0,1,"benthopelagic","Chromis kennensis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3562",3562,11866,"Chromis","Chrominae",0,1,"benthopelagic","Chromis klunzingeri","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3563",3563,11868,"Chromis","Chrominae",0,1,"benthopelagic","Chromis limbata","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3564",3564,11869,"Chromis","Chrominae",0,1,"benthopelagic","Chromis limbaughi","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3565",3565,12419,"Chromis","Chrominae",0,1,"benthopelagic","Chromis lubbocki","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3566",3566,69351,"Chromis","Chrominae",0,1,"benthopelagic","Chromis mamatapara","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3567",3567,12422,"Chromis","Chrominae",0,1,"benthopelagic","Chromis mirationis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3568",3568,64210,"Chromis","Chrominae",0,1,"benthopelagic","Chromis monochroma","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3569",3569,12423,"Chromis","Chrominae",0,1,"benthopelagic","Chromis nigroanalis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3570",3570,9225,"Chromis","Chrominae",0,1,"benthopelagic","Chromis nitida","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3571",3571,69577,"Chromis","Chrominae",0,1,"benthopelagic","Chromis norfolkensis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3572",3572,12425,"Chromis","Chrominae",0,1,"benthopelagic","Chromis notata","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3573",3573,12426,"Chromis","Chrominae",0,1,"benthopelagic","Chromis okamurai","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3574",3574,63941,"Chromis","Chrominae",0,1,"benthopelagic","Chromis onumai","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3575",3575,12427,"Chromis","Chrominae",0,1,"benthopelagic","Chromis opercularis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3576",3576,7818,"Chromis","Chrominae",0,1,"benthopelagic","Chromis ovalis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3577",3577,26693,"Chromis","Chrominae",0,1,"benthopelagic","Chromis pamae","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3578",3578,12428,"Chromis","Chrominae",0,1,"benthopelagic","Chromis pelloura","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
"3579",3579,12429,"Chromis","Chrominae",0,1,"benthopelagic","Chromis pembae","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",10348068.5517216,0.442035549573786
